ABBR,TERM
lim inf,limit inferior.
lim sup,limit superior.
LLN,law of large numbers.
ln,"natural logarithm, loge."
lnp1,natural logarithm plus 1 function.
ln1p,natural logarithm plus 1 function.
log,"logarithm. (If without a subscript, this may mean either log10 or loge.)"
logh,"natural logarithm, loge."
LST,language of set theory.
lub,least upper bound. (Also written sup.)
max,maximum of a set.
MGF,moment-generating function.
M.I.,mathematical induction.
min,minimum of a set.
mod,modulo.
Mp,metaplectic group.
mtanh,modified hyperbolic tangent function. (Also written as mth.)
mth,modified hyperbolic tangent function. (Also written as mtanh.)
mx,matrix.
NAND,not-and in logic.
No.,number.
NOR,not-or in logic.
NTS,need to show.
OBGF,ordinary bivariate generating function.
ob,object class.
ord,ordinal number of a well-ordered set.[4]
pdf,probability density function.
pf,proof.
PGL,projective general linear group.
PI,the constant 3.14159265359
Pin,pin group.
pmf,probability mass function.
Pn,previous number.
Pr,probability of an event
PSL,projective special linear group.
PSO,projective orthogonal group.
PSU,projective special unitary group.
PU,projective unitary group.
QED,"Quod erat demonstrandum, a Latin phrase used at the end of a definitive proof."
QEF,"quod erat faciendum, a Latin phrase sometimes used at the end of a geometrical construction."
ran,range of a function.
rank,rank of a matrix. (Also written as rk.)
Re,real part of a complex number
resp,respectively.
RHS,right-hand side of an equation.
rk,rank. (Also written as rank.)
RMS,"rms,root mean square."
rng,non-unital ring.
rot,rotor of a vector field. (Also written as curl.)
RTP,required to prove.
RV,random variable. (or as R.V.)
R,Real numbers
SD,standard deviation
SE,standard error
sec,secant function.
sech,hyperbolic secant function.
seg,initial segment of.[1]
sem,haversine function. (Also written as hav.)
SFIP,strong finite intersection property.
sgn,sign function.
Shi,hyperbolic sine integral function.
Si,sine integral function.
sin,sine function.
sinc,sinc function.
sinh,hyperbolic sine function.
siv,"versine function. (Also written as ver, vers.)"
SL,special linear group.
SO,special orthogonal group.
SOC,second order condition.
Soln,solution.
Sp,symplectic group.
Sp,"trace of a matrix, from the German 'spur' used for the trace."
sp,"linear span of a set of vectors. (Also written as span or written with angle brackets.)"
Spec,spectrum of a ring.
Spin,spin group.
s.t.,such that or so that or subject to.
st,standard part function.
STP,[it is] sufficient to prove.
SU,special unitary group.
sup,"supremum of a set. (Also written as lub, which stands for least upper bound.)"
supp,support of a function.
swish,"swish function, an activation function in data analysis."
Sym,"symmetric group (Sym(n) is also written as Sn) or symmetric algebra."
tan,"tangent function. (Also written as tgn, tg.)"
tanh,hyperbolic tangent function.
TAU,"the constant 6.283185307179586476925286766559"
TFAE,the following are equivalent.
tg,"tangent function. (Also written as tan, tgn.)"
tgn,"tangent function. (Also written as tan, tg.)"
Thm,theorem.
Tor,Tor functor.
Tr,"trace, either the field trace, or the trace of a matrix or linear transformation."
undef,a function or expression is undefined
V,volume.
var,variance of a random variable.
vcs,vercosine function. (Also written as vercos.)
ver,"versine function. (Also written as vers, siv.)"
vercos,vercosine function. (Also written as vcs.)
vers,"versine function. (Also written as ver, siv.)"
W^5,"which was what we wanted. Synonym of Q.E.D."
walog,without any loss of generality.
wff,well-formed formula.
whp,with high probability.
wlog,without loss of generality.
WMA,we may assume.
WO,well-ordered set
wp1,with probability 1.
wrt,with respect to or with regard to.
WTP,want to prove
WTS,want to show
XOR,exclusive or in logic
XYZ,"Cartesian coordinate system (x,y,z)"
ZF,Zermelo–Fraenkel axioms of set theory
ZFC,Zermelo–Fraenkel axioms (with the Axiom of Choice) of set theory
