ABBR,TERM
LSY,Lismore Airport,
LVA,Entrammes,
JOJ,Doris Lake Aerodrome,
LUW,Bubung Airport,
LVB,Dos Galpoes,
LVL,Lawrenceville,
LVM,Mission Field,
LVS,Las Vegas,
NIE,Niblack,
JSH,Sitia Airport,
JSI,Skiathos Airport,
KAB,Kariba,
LBE,Westmoreland County Airport,
LBF,Lee Bird Field,
ZFB,Old Fort Bay,
ALM,Municipal,
AOL,Paso De Los Libres,
ASH,Boire Field,
BGL,Baglung,
BGT,Bagdad,
BJO,Bermejo,
CSW,Colorado do Oeste,
DAO,Dabo,
FCT,Firing Center AAF,
FLU,Flushing,
JCX,Citicorp Plaza Heliport,
JHW,Jamestown Airport,
JKH,Chios Airport,
JKL,Kalymnos Island National Airport,
JKR,Janakpur Airport,
AMU,Amanab,
AMY,Ambatomainty,
AOB,Annanberg,
DGA,Dangriga,
ZFZ,Buffalo Depew Rr,
LDI,Kikwetu,
BOF,Bolling AFB,
LDJ,Linden,
LWK,Lerwick/Tingwall,
LDY,City of Derry Airport,
BAU,Bauru Airport,
DGK,Dugong,
LEJ,Leipzig/Halle Airport,
COL,Isle Of Coll,
CUK,Caye Caulker,
LPW,Little Port Walter,
LFT,Lafayette Regional Airport,
LTH,Lathrop Wells,
LSR,Lost River,
LWA,Lwbak,
ADC,Andakombe,
AFT,Afutara Aerodrome,
AGQ,Agrinion,
AGV,Acarigua,
AGX,Agatti Island Airport,
AIE,Aiome,
LXG,Luang Namtha Airport,
DOK,Donetsk International Airport,
DUS,Dusseldorf International Airport,
FIE,Fair Isle,
HDA,Hidden Falls,
NQT,Nottingham Airport,
OHE,Mohe Airport,
OHH,Novostroyka Airport,
NWS,Pier 11/Wall St. SPB,
WOO,Woodchopper,
LXN,Lexington,
TIS,Thursday Island,
LXR,Luxor International Airport,
DDI,Daydream Island,
DOI,Doini,
LXS,Limnos Airport,
LFW,Lome Airport,
LGA,LaGuardia Airport,
LGB,Long Beach Airport,
AIY,Bader Field,
BAJ,Bali,
LGD,La Grande,
LGG,Liege Airport,
LGI,Deadmans Cay Airport,
LGK,Langkawi International Airport,
LLE,Malelane,
LXU,Lukulu,
LLJ,Silampari Airport,
LXV,Leadville,
SIL,Sila,
LLO,Bua Airport,
LLT,Lobito,
AKH,Prince Sultan Air Base,
YDH,Daniels Harbour,
AQM,Ariquemes,
ARP,Aragip,
ASE,Aspen Airport,
ASG,Ashburton,
ASQ,Austin,
ASU,Silvio Pettirossi International Airport,
ATA,Anta,
ATT,Atmautluak Airport,
AUE,Abu Rudeis,
AUW,Municipal,
AUZ,Municipal Airport,
AVI,Maximo Gomez,
HEL,Helsinki-Vantaa Airport,
JGC,Heliport,
YDS,Desolation Sound,
BRR,North Bay Airport,
AED,Aleneva,
YCJ,Cape St James,
YDK,Main Duck Island,
LLW,Lilongwe International Airport,
ONN,Onion Bay,
PNS,Pensacola International Airport,
PBA,Point Barrow,
CWO,Ft Wolter AAF,
YMR,Merry Island,
JRE,East 60th Street Heliport,
YNK,Nootka Sound,
TEK,Tatitlek,
LPL,Liverpool John Lennon Airport,
LPP,Lappeenranta,
AGM,Tasiilaq,
ATD,Atoifi,
AVK,Arvaikheer,
AVN,Avignon-Caumont Airport,
AYY,Arugam Bay SPB,
LPQ,Luang Prabang International Airport,
SJX,Sartaneja,
SAH,Sana'a International Airport,
DGB,Danger Bay,
FIV,Five Finger,
FRP,Fresh Water Bay,
SAL,El Salvador International Airport,
SAN,San Diego International Airport,
CDZ,Cadiz,
AUB,Itauba Airport,
LPU,Long Apung,
PGP,Porto Alegre,
PID,Paradise Island,
LIJ,Long Island,
PII,Phillips Field,
SLZ,Marechal Cunha Machado International Airport,
SMF,Sacramento International Airport,
LRA,Larisa,
LLU,Alluitsup Paa,
QNY,Marine Air Terminal,
LRD,Laredo International Airport,
SMS,Sainte Marie,
AUV,Aumo,
AVO,Municipal,
AVV,Avalon Airport,
AWR,Awar,
AWZ,Ahwaz Airport,
DOF,Dora Bay,
EMB,Embarkadero,
SZC,Guanacaste,
EWD,Wildman Lake,
HBC,Hanus Bay,
SOO,Helsinge Airport,
SOE,Souanke,
STL,Lambert-St. Louis International Airport,
STP,St. Paul Downtown Airport,
STT,Cyril E. King Airport,
STV,Surat Gujarat Airport,
STX,Henry E. Rohlsen Airport,
SUB,Juanda International Airport,
SUE,Door County,
SUF,Lamezia Terme International Airport,
SUG,Surigao Airport,
SXL,Sligo,
CIB,Ap In The Sky,
TON,Tonu,
YNX,Snap Lake,
DDG,Langtou Airport,
DEI,Denis Island,
BAM,Lander County,
PRF,Port Johnson,
SKS,Vojens,
PTL,Port Armstrong,
PVY,Pope Vanoy,
SSW,Stuart Island,
TNK,Tununak,
LYN,Bron,
LYP,Faisalabad Airport,
SZF,Samsun-Carsamba Airport,
SZN,Santa Cruz Island,
SZX,Shenzhen Bao'an International Airport,
LYS,Lyon Saint-Exupery International Airport,
AJN,Ouani,
AKM,Zakouma,
AXD,Demokritos Airport,
AYX,Gerardo Pérez Pinedo,
AZJ,Zhenjiang Dalu,
AZN,Andizhan Airport,
AZO,Kalamazoo Battle Creek International Airport,
BAI,Buenos Aires,
SVP,Kuito (Silva Porto),
SWD,Seward,
SYH,Syangboche,
SYI,Bomar Field,
SYJ,Sirjan,
SYM,Pu'er Simao Airport,
DGF,Douglas Lake,
BBY,Bambari,
BKA,Bykovo,
PNF,Peterson's Point,
FAQ,Freida River,
QSG,Sonderborg,
RLA,National,
SXC,Avalo Vor/WP,
GLV,Golovin Airport,
LZO,Luzhou Lantian Airport,
GST,Gustavus Airport,
LZY,Nyingchi Mainling Airport,
MBJ,Sangster International Airport,
MBL,Blacker Airport,
MBO,Mamburao,
BZS,Buzzards Pt S,
BAO,Udorn,
BAQ,E Cortissoz Airport,
BAT,Airport Chafei Amsei,
BBJ,Bitburg Air Base,
BBP,Bembridge,
BBQ,Barbuda,
BBW,Broken Bow,
BBX,Wings Field,
BCA,Baracoa,
BCD,Bacolod-Silay International Airport,
BCF,Bouca,
BCV,Belmopan,
BDG,Blanding,
HIS,Hayman Island,
BFW,Sidi Belabbes,
RWB,Rowan Bay,
MSB,Marigot SPB,
MWP,Mountain,
LYB,Little Cayman Airport,
LYC,Lycksele Airport,
LYO,Lyons-Rice County Municipal,
LYH,Preston-Glenn Field,
MAA,Chennai Airport,
KFP,False Pass,
KKA,Koyuk Airport,
BGP,Bongo,
HCR,Holy Cross Airport,
OCI,Oceanic,
UQE,Queen,
OHC,AFS,
SCJ,Smith Cove,
CFA,Coffee Point,
KTN,Ketchikan International Airport,
KAL,Kaltag Airport,
KYK,Karluk,
CWG,Callaway Gardens,
HOM,Homer Airport,
HPB,Hooper Bay Airport,
HSL,Huslia Airport,
AKN,King Salmon Airport,
AKP,Anaktuvuk,
BDL,Bradley International Airport,
BDM,Bandirma,
BDP,Bhadrapur Airport,
BEA,Bereina,
BEG,Belgrad Nikola Tesla Airport,
BFL,Meadows Field Airport,
BFN,Bram Fischer International Airport,
BFS,Belfast International Airport,
IAN,Bob Baker Memorial Airport,
SHX,Shageluk Airport,
KPH,Pauloff Harbor SPB,
AAG,Arapoti,
LUR,Cape Lisburne,
OME,Nome Airport,
LMA,Lake Minchumina,
VCB,View Cove,
OOK,Toksook Bay Airport,
KPK,Parks SPB,
SMK,St. Michael Airport,
KUW,Kugururok River,
PTH,Port Heiden,
PTU,Platinum Airport,
SKJ,Sitkinak Cgs,
VKW,West Kavik,
KPC,Port Clarence,
WDB,Deep Bay,
TGJ,Tiga,
CZO,Chistochina,
MLY,Manley Hot Springs,
MFA,Mafia,
MFE,McAllen International Airport,
LYK,Lunyuk,
LYR,Svalbard Airport,
LYU,Ely,
LYX,London Ashford International (Ferryfield),
LZA,Luiza,
ORT,Northway,
OTZ,Ralph Wien Memorial Airport,
AAO,Anaco,
AAR,Aarhus Airport,
AAV,Allah Valley,
NLG,Nelson Lagoon,
AAY,Al Ghaydah,
ACA,Acapulco International Airport,
ACH,Altenrhein Airport,
ACX,Xingyi Airport,
BFV,Buri Ram Airport,
BGA,Palonegro International Airport,
BGD,Borger,
LSI,Sumburgh Airport,
FIC,Fire Cove,
RBY,Ruby Airport,
XEO,Harbour,
PFD,Port Frederick,
ABZ,Aberdeen International Airport,
XLF,Leaf Bay,
KSM,Saint Mary's Airport,
TKA,Talkeetna,
GBN,San Giovanni Rotondo,
FYU,Fort Yukon Airport,
JNN,Nanortalik,
GAR,Garaina,
TNO,Tamarindo,
TNZ,Tosontsengel,
TOB,Tobruk,
BNM,Bodinumu,
BNZ,Banz,
BPD,Bapi,
CPN,Cape Rodney,
LZU,Gwinnett County Airport,
MBP,Moyobamba,
MBQ,Mbarara,
MBT,Masbate Airport,
MBX,Maribor International Airport,
ACS,Achinsk,
ACZ,Zabol Airport,
AER,Sochi International Airport,
AES,Vigra Alesund Airport,
AFZ,Sabzevar,
AHO,Alghero-Fertilia Airport,
AHZ,Alpe D Huez,
AJL,Aizawl Airport,
MIN,Minnipa,
MIP,Mitspeh Ramon,
MIR,Habib Bourguiba International Airport,
MIT,Kern County,
SCC,Prudhoe Bay/Deadhorse Airport,
SLQ,Sleetmute,
YCI,Caribou Island,
MIW,Municipal,
MJB,Mejit Island,
YCX,Gagetown,
YDI,Davis Inlet,
BNT,Bundi,
BOT,Boset,
YJO,Johnny Mountain,
YAV,Miners Bay,
ELM,Elmira Corning Regional Airport,
QJE,Heliport,
MJC,Man,
KKD,Kokoda,
KUY,Kamusi Airport,
KWO,Kawito,
AKJ,Asahikawa Airport,
GEI,Green Islands,
HTI,Hamilton Island Airport,
RBH,Brooks Lodge,
AKL,Auckland Airport,
MHT,Manchester Boston Regional Airport,
IHU,Ihu,
YRE,Resolution Island,
TQL,Tarko-Sale,
YSR,Nanisivik,
BPB,Boridi,
MJF,Kjaerstad Airport,
YGS,Germansen,
BPK,Biangabip,
BTX,Betoota,
BUC,Burketown,
AKT,Raf Akrotiri,
BDW,Bedford Downs,
BGM,Greater Binghamton Airport,
BGN,Belaya Gora Airport,
BGO,Bergen Airport,
BGS,Webb AFB,
BGU,Bangassou,
BGV,Bento Goncalves,
BVI,Birdsville,
YBI,Black Tickle,
MJG,Mayajigua,
ZFL,South Trout Lake,
BLS,Bollon,
MJI,Mitiga Tripoli Airport,
MHW,Monteagudo,
YIO,Pond Inlet Airport,
MIA,Miami International Airport,
EDA,Edna Bay,
GCI,Guernsey Airport,
AKW,Aghajari,
TRS,Trieste - Friuli Venezia Giulia Airport,
LBV,Libreville Airport,
TRV,Trivandrum International Airport,
TRZ,Tiruchirapalli International Airport,
TSA,Taipei Songshan Airport,
TSB,Tsumeb,
TSC,Taisha,
TSD,Tshipise,
TSE,Astana (Nursultan) International Airport,
TBG,Tabubil Airport,
BQL,Boulia,
GIC,Boigu Island,
ALF,Alta Airport,
ALH,Albany Airport,
ANO,Angoche,
BEW,Beira Airport,
BGW,Baghdad International Airport,
HBH,Hobart Bay,
ISA,Mount Isa Airport,
LRE,Longreach Airport,
MYI,Murray Island,
MJL,Mouila,
BKO,Bamako-Senou International Airport,
MJM,Mbuji-Mayi,
MIC,Crystal,
MID,Manuel Crescencio Rejon International Airport,
KAH,City Heliport,
LHG,Lightning Ridge,
ADX,Leuchars,
TSX,Tanjung Santan,
TTB,Arbatax,
DKL,Kiwigana Lodge Heliport,
BRZ,Borotou,
BSZ,Bartletts,
AEH,Abéché,
ASR,Kayseri Airport,
AYN,Anyang Airport,
BHE,Woodbourne Airport,
BHG,Brus Laguna,
BHJ,Rudra Mata Airport,
BHM,Birmingham-Shuttlesworth International Airport,
BHN,Beihan,
BHQ,Broken Hill Airport,
BHT,Brighton Downs,
BHU,Bhavnagar Airport,
BVL,Baures,
EUA,Kaufana,
HIH,Hook Island,
HZK,Husavik,
MKL,Mckellar Airport,
BXV,Breiddalsvik,
BAC,Barranca De Upia,
BIA,Bastia Poretta Airport,
BID,Block Island,
BIE,Beatrice,
YHI,Holman,
BIJ,Biliau,
YKL,Schefferville Airport,
MKO,Davis Field,
MKW,Rendani Airport,
BIU,Bildudalur,
YKG,Kangirsuk Airport,
MKY,Mackay Airport,
SDO,Ryotsu Sado Island,
YAT,Attawapiskat,
KZH,Kizhuyak,
YHK,Gjoa Haven Airport,
BJF,Batsfjord Airport,
BJI,Bemidji Airport,
CVA,Civic Ar Heli,
CZH,Corozal,
FMC,Five Mile,
HSC,Shaoguan,
YGY,Deception,
LCS,Las Canas,
LGZ,Leguizamo,
MLI,Quad City International Airport,
MLN,Melilla Airport,
QPW,Heliport,
YLS,Lebel-Sur-Quevillon,
OUI,Ban Houei,
JPU,La Defense Heliport,
JWH,Westchase Hilton Heliport,
PCE,Painter Creek,
PFA,Paf Warren,
MLO,Milos Airport,
EPI,Epi,
MLP,Malabang,
MNJ,Mananjary,
MNL,Ninoy Aquino International Airport,
MJQ,Jackson,
FTL,Fortuna Ledge,
BAG,Loakan,
BAH,Bahrain International Airport,
BAV,Baotou Airport,
BAX,Barnaul Gherman Titov International Airport,
BBR,Baillif,
BBS,Blackbushe,
BJL,Yundum International Airport,
BJN,Bajone,
BJQ,Bahja Airport,
BJT,Bentota River,
BJV,Milas-Bodrum Airport,
YTC,Sturdee Valley Airport,
YMP,Port McNeil,
CCD,Century City,
NES,East 34th St Landing,
MST,Maastricht Aachen Airport,
YND,Gatineau Airport,
MSV,Sullivan County International,
DJG,Inedbirenne Airport,
AAL,Aalborg Airport,
ALT,Alenquer,
YNP,Natuashish Airport,
AYU,Aiyura,
MSY,Louis Armstrong New Orleans International Airport,
YNC,Wemindji,
YXY,Whitehorse Airport,
POQ,Polk Inlet,
RLU,Bornite Upper,
MTH,Florida Keys Marathon Airport,
EPT,Eliptamin,
MTJ,Montrose Regional Airport,
EXI,SPB,
SOI,South Molle Island,
PTR,Pleasant Harbour,
FNK,Fin Creek,
BAS,Balalae,
BMT,Beaumont Municipalcipal,
BMV,Phung-Duc Airport,
BMY,Belep Island,
BNA,Nashville International Airport,
BND,Bandar Abbas International Airport,
BQI,Bagani,
FXM,Flaxman Island,
GTB,Genting,
HEX,Santo Domingo Herrera,
RXA,Raudha,
HGT,Hunter AAF,
KGE,Kagau,
NBO,Jomo Kenyatta International Airport,
YPL,Pickle Lake,
YPX,Puvirnituq,
NMF,Maafaru International Airport,
QUP,Heliport,
VIK,Airstrip,
WBI,Broker Inn,
YPM,Pikangikum,
YCP,Co-op Point,
NBS,Changbaishan Airport,
NCE,Cote D'Azur Airport,
NEU,Sam Neua,
KOI,Kirkwall Airport,
MDA,Martindale Army Heliport,
MJR,Miramar,
XBE,Bearskin Lake,
JSO,Sodertalje Heliport,
BDS,Brindisi - Salento Airport,
BDU,Bardufoss Airport,
BEB,Benbecula Airport,
YTK,Tulugak,
BED,Hanscom Field,
BEF,Bluefields,
BQN,Rafael Hernandez Airport,
BQQ,Barra,
BQV,Bartlett SPB,
BRV,Bremerhaven,
BTN,Bennettsville,
BTP,Butler County - Kenny Scholter Field,
BVA,Beauvais-Tille Airport,
BVB,Boa Vista Airport,
BVE,Laroche Airport,
BVR,Esperadinha,
FLE,Fort Lee AAF,
GAF,Gafsa,
GEK,Ganes Creek,
GFB,Togiak Fish,
GLQ,Glennallen,
JCH,Qasigiannguit,
JCJ,Chuja Heliport,
YLF,LaForges,
YSG,Lutselke,
CEL,Cape Eleuthera,
YSE,Squamish,
YRT,Rankin Inlet Airport,
WLB,Labouchere Bay,
KNV,Knights Inlet,
MIK,Mikkeli,
YDX,Doc Creek,
YTN,Riviere Au Tonnerre,
AAM,Mala Mala,
BGR,Bangor International Airport,
BWA,Bhairawa Airport,
BWL,Blackwell,
BWM,Bowman,
BWW,Las Brujas Airport,
BXA,George R Carr,
BXC,Boxborough,
BXG,Bendigo,
BXH,Balhash,
BXI,Boundiali,
BXJ,Burundai,
FGL,Fox Glacier,
MIM,Merimbula Airport,
MJD,Mohenjodaro,
NTQ,Noto Airport,
APR,April River,
KPF,Kondubol,
WHH,Hiltons Har H,
MJN,Amborovy,
MLF,Milford,
DCP,Cabin Plant Heliport,
MLJ,Baldwin County,
XKS,Kasabonika,
DGG,Daugo,
CUW,Cube Cove,
BKU,Betioky,
BXK,Buckeye Municipal,
BXS,Borrego Springs,
BXT,Bontang,
BXX,Borama International,
BXY,Baikonur Krayniy Airport,
BYA,Boundary,
BYB,Dibaa,
BYD,Beidah,
BYF,Albert-Bray Airport,
BYG,Municipal,
BYI,Rupert,
BZT,Eagle Air Park,
BZY,Beltsy Airport,
CAA,Catacamas,
KPG,Kurupung,
KRX,Kar Kar,
KUQ,Kuri,
EHT,Rentschler,
JNS,Heliport,
FAG,Fagurholsmyri,
SWB,Shaw River,
BKG,Branson,
KHW,Khwai River Lodge,
BBK,Kasane Airport,
BJY,Batajnica,
BKI,Kota Kinabalu International Airport,
BKL,Burke Lakefront Airport,
BBZ,Zambezi,
BJX,Guanajuato International Airport,
