Abbr,Term
DIMM,Dual In-line Memory Module 
DLL,Dynamic Link Library
DMI,Desktop Management Interface 
DMOS,Double Diffused MOS transistor
DOI,Digital Object Identifier
DOS,"Denial of Service,or Disk Operating System"
DRAM,Dynamic Random Access Memory 
DRM,Digital Rights Management
DSP,Digital Signal Processing
DVD,"Digital Versatile Disk (was Digital Video Disk)"
EBCDIC,Extended Binary Coded Decimal Interchange Code
ECC,"Elliptic Curve Cryptography or Error-Correcting Code"
EOF,End of File
EULA,End-User License Agreement 
FAT,File Allocation Table
FC-PGA,Flip-Chip Pin Grid Array
FD,"Floppy Drive or File Descriptor"
FDC,Floppy Disk Controller
FDD,Floppy Disk Drive
FDDI,Fiber Distributed Data Interface
FDHP,Full Duplex Handshaking Protocol
Feat,Feature
FF,"Firefox (Web browser)"
FFT,Fast Fourier Transformation
FIFO,"First In, First Out"
FILO,"First In, Last Out (see also LIFO)"
FIPS,Federal Information Processing Standards
FLAC,Free Lossless Audio Codec
FLOPS,Floating-Point Operations Per Second
FM,Frequency Modulation
FMV,Full Motion Video
FNBN,For Nerds By Nerds
FNEA,Full Name and E-mail Address
FNR,Format and Restore
FOAD,Fuck Off And Die
FOIA,Freedom of Information Act
FOIRL,Fiber-Optic Inter-Repeater Links
FORTRAN,The IBM Mathematical FORmula TRANslating System (programming language)
FOSS,Free and Open-Source Software
FOV,Field Of View
FPGA,Field-Programmable Gate Array
FPM,Fast Page Mode
FPROM,Field Programmable Read-Only Memory
FPS,"Frames Per Second, or First-Person Shooter"
FPU,Floating-Point Unit
FQDN,Fully Qualified Domain Name
FR,Frame Relay
FRAM,Ferroelectric RAM
FRU,Field-replacable Unit
FS,File System
FTP,File Transfer Protocol
GBIC,Gigabit Interface Converter
Gbps,Gigabits per second
GCC,GNU Compiler Collection
GDDR,Graphics Double Data Rate
GDI,Graphics Device Interface
GDPR,General Data Protection Regulation
GEM,Graphics Environment Manager
GEOS,Graphical Environment Operating System
GFDL,GNU Free Documentation License
GFS,"Global File System or Google File System"
GIF,Graphics Interchange Format
GIGO,Garbage In Garbage Out
GIMP,GNU Image Manipulation Program
GIMPS,Great Internet Mersenne Prime Search
GIS,"Geographic Information System, or Google Image Search"
GIYF,Google Is Your Friend
GKS,Graphical Kernel System
GLUT,OpenGL Utility Toolkit
Gmail,Google Mail
GML,"Generalized Markup Language,Geography Markup Language,Game Maker Language,Graph Modelling Language,Graphical Motion Language,GUI Markup Language"
GNOME,GNU Network Object Model Environment
GNU,GNU's Not Unix
GPF,General Protection Fault
GPG,GNU Privacy Guard
GPL,GNU General Public License
GPMP,General Purpose Macro Processor
GPT,GUID Partition Table
GPU,Graphics Processing Unit
GTA,Grand Theft Auto (computer game)
GUI,Graphical User Interface
GXA,Global XML Web Services Architecture
GXF,General Exchange Format
GXL,Graph eXchange Language
HBCI,Home Banking Computer Interface
HCI,Human-Computer Interaction/Interface
HDD,"Hard Disk Drive, or High-Density Disk"
HDMI,High Definition Multimedia Interface
HDR,Hard disk recorder
HDTV,High-Definition Television
HMM,Hidden Markov Model
IDE,Integrated Development Environment
IoT,Internet of Things
IP,Internet Protocol
IRC,Internet Relay Chat
ISP,Internet Service Provider
IT,Information Technology
JFET,Junction Field-Effect Transistor 
L2TP,Layer 2 Tunneling Protocol
LAN,Local Area Network
LCD,Liquid Crystal Display
LDMOS,Laterally Diffused MOS transistor 
LLVM,Compiler Infrastructure (Low Level Virtual Machine)
MSDOS,Microsoft Disk Operating System
NIC,Network Interface Card
PC,Personal Computer
PR,Problem Report
RAM,Random Access Memory
RDP,Remote Desktop Protocol
SSD,Solid-State Drive
SWAT,Samba Web Administration Tool
SWF,Shockwave Flash file
Swift,Programming language released in 2014 by Apple Inc.
TPM,Trusted Platform Module
UDP,User Datagram Protocol
UEFI,Unified Extensible Firmware Interface
URL,Uniform Resource Locator
VPN,Virtual Private Network
VPS,Virtual Private Server
VRAM,Video RAM
VRF,Virtual Routing and Forwarding
VRM,"Vendor Risk Management, or Voltage Regulator Module"
VRML,Virtual Reality Modeling Language
VRR,Voice Recognition and Response
VRRP,Virtual Router Redundancy Protocol
VSA,virtual SAN appliance
VSA,Virtual Storage Appliance
VSAM,Virtual Storage Access Method
VSAN,virtual storage area network
VSAT,Very Small Aperture Terminal
VSB,vestigial sideband
VSE,Visual Studio Express
VSM,virtual systems management
VSMP,virtual symmetric multiprocessing
VSP,vertical solutions provider
VSP,Virtual Storage Portal
VSPP,VMware Service Provider Program
VSTO,Visual Studio Tools for Office or Microsoft Visual Studio Tools
VSTS,Visual Studio Team System
VTAM,Virtual Telecommunications Access Method
VTL,Virtual Tape Library
VUM,VMware vSphere Update Manager
VXLAN,gateway Virtual Extensible VLAN gateway
VXLAN,Virtual Extensible LAN
WAN,Wide Area Network
WWW,World Wide Web
XWM,X window manager
XWN,eXtended WordNet
XWS,X Window System
XYZ,Internet top-level domain (.xyz) released in 2014
