Abbr,Term,Country
BR-ALT,Alenquer Municipal Airport,BR
BR-SWM,Suia-Missu Airport,BR
BRG,Whitesburg Municipal Airport,US
BS-0001,Fowl Cay Airstrip,BS
BS-0002,Port Nelson Airstrip,BS
BS-0003,Cape Santa Maria Airstrip,BS
BS-0004,Cave Cay Airstrip,BS
BS-0005,Farmers Cay Airstrip,BS
BS-0006,Castaway Cay (Gorda Cay) Airstrip,BS
BS-0007,Big Grand Cay Heliport,BS
BS-0008,Nassau Helicopters Heliport,BS
BS-0009,Andros Central / Twin Lakes Airport,BS
BS-0010,Overyonder Cay Seaplane Base,BS
BS-0011,Little Pipe Cay Seaplane Base,BS
BS-0012,Mister Beast Island Helipad,BS
BS-0013,Soldier Cay Airstrip,BS
BS-0014,Abaco Beach Resort Heliport,BS
BS-0015,Wilson City Airport,BS
BS-0016,Elbow Cay Emergency Helipad,BS
BS-0017,Cargill Creek Settlement Heliport,BS
BS-NSB,Bimini North Seaplane Base,BS
BSI,Jim Shearer South Airport,US
BSP,Bensbach Airport,PG
BSV,Besakoa Airport,MG
BT-0001,Royal Bhutan Police Heliport,BT
BT-0002,Uma Gechuthang Heliport,BT
BT-0003,Dumcho Heliport,BT
BT-0004,Rinchending Heliport,BT
BT-0005,Trongsa Heliport,BT
BT-0006,Mongar Heliport,BT
BT-0007,Buli Heliport,BT
BTZ,Betong International Airport,TH
BUL,Bulolo Airport,PG
BUTL,Butlerville Field,US
BVP,Bolovip Airstrip,PG
BVR,Esperadinha Airport,CV
BW-0001,Khuis Airport,BW
BW-0002,Motopi Airport,BW
BW-0003,Seronga Airport,BW
BW-0004,Linyanti Airport,BW
BW-0005,Serondela Airport,BW
BW-0006,Pom Pom Airport,BW
BW-0007,Santawani Airport,BW
BW-0008,Tsau Airport,BW
BW-0009,Riverside North Airport,BW
BW-0010,Riverside Southeast Airport,BW
BW-0011,Oxford Airport,BW
BW-0012,Xade Airstrip,BW
BW-0013,Ghaghoo Mine Airport,BW
BW-0014,Chandia Airstrip,BW
BW-0015,Kgoro Pan Airport,BW
BW-0016,Khutse Airport,BW
BW-0017,Khwai North Airport,BW
BW-0018,Ncamasere Airport,BW
BW-0019,Etsha Airport,BW
BW-0020,Alpha Airfield,BW
BW-0021,Arizona Airport,BW
BW-0022,Big Game Airport,BW
BW-0023,Sunny Side Airport,BW
BW-0024,Kwalata Airport,BW
BW-0025,Jwala Airport,BW
BW-0026,Kgwedi Airport,BW
BW-0027,Chief's Island Airport,BW
BW-0028,Chief's Camp Airport,BW
BW-0029,Mombo Camp Airport,BW
BW-0030,Chitabe Airstrip,BW
BW-0031,Xakanaxa Old Airport,BW
BW-0032,Xakanaxa Airport,BW
BW-0033,Kwara Camp Airport,BW
BW-0034,Shindi Lodge Airport,BW
BW-0035,New Xade Airport,BW
BW-0036,Matsieng Airstrip,BW
BW-0037,Ncojane Airport,BW
BW-0038,Rann Airport,BW
BW-0039,Sanctuary Stanley Airport,BW
BW-0040,Ketumetse Airport,BW
BW-0041,Mapula Airport,BW
BW-0042,Nxabega Safari Airport,BW
BW-0043,Masame Airport,BW
BW-0044,Elephant Sands Airport,BW
BW-0045,Xhumaga Airport,BW
BW-0046,Xamaxai Airport,BW
BW-0047,Kanana Farm Airport,BW
BW-0048,Selinda Old Airport,BW
BW-0049,Jackalas 1 Airport,BW
BW-0050,Mapoka Airport,BW
BW-0051,Central Kalahari Airport,BW
BW-0052,Nxai Pan Airstrip,BW
BW-0053,Mmashoro Airport,BW
BW-0054,Xudum Airport,BW
BW-0055,Seba Airport,BW
BW-0056,Karowe Airstrip,BW
BW-0057,Banoka Airstrip,BW
BW-0058,Gorokwe Airport,BW
BW-0059,Satawani Airstrip,BW
BW-0060,Ngarangi Airport,BW
BW-0061,Gaborone Notwane Airport,BW
BW-HUK,Hukuntsi Airport,BW
BWJ,Bawan Airport,PG
BWP,Bewani Airport,PG
BXL,Blue Lagoon Seaplane Base,FJ
BXZ,Bunsil Airport,PG
BY-0001,Orsha Airport - Balbasovo Air Base,BY
BY-0002,Bobr Air Base,BY
BY-0003,Bobrovichi Air Base,BY
BY-0004,Borovtsy Air Base,BY
BY-0005,Polotsk Airfield,BY
BY-0006,Osovtsy Air Base,BY
BY-0007,Bykhau Air Base,BY
BY-0008,Bel Airfield,BY
BY-0009,Lida Air Base,BY
BY-0010,Borovukha-2 Helipad,BY
BY-0011,Aerodrom Belz,UA
BY-0012,Aerodrom Kukoviatsino,BY
BY-0013,VD Bolshoy Bokov Airfield,BY
BY-0014,Lipki Air Base,BY
BY-0015,Aerodrom Ozerki,BY
BY-0016,Gorki,BY
BY-0017,Kokhanovichi Airfield,BY
BY-0018,Bozhki Airstrip,BY
BY-0019,Zheludok Heliport,BY
BY-0020,Njeman Heliport,BY
BY-0021,Drozdy Heliport,BY
BY-0022,Dzerzhinsky Highway Strip,BY
BY-0023,Bobruisk Aeroclub,BY
BY-0024,Karolin Airfield,BY
BY-0025,Voirovka Airfield,BY
BY-0026,Komsomolskaya Airstrip,BY
BY-0027,Kisyali Airfield,BY
BY-0028,Vidzy Airstrip,BY
BY-0029,Kliepačy Airstrip,BY
BY-0030,Selhozaviatsii,BY
BY-0031,Suklina Airstrip,BY
BY-0032,Mazalovo Airstrip,BY
BY-0033,Stepanovo Airstrip,BY
BY-0034,Obsianka Airstrip,BY
BY-0035,Ptsich Airstrip,BY
BY-0036,Krichev Air Base,BY
BY-0037,Mestnyy Airfield,BY
BY-0038,Voirovka East Airfield,BY
BY-0039,Pogonnoye Airport,BY
BY-0040,Pinsk / Galevo Airfield,BY
BY-0041,Avia-Mensk Airstrip,BY
BY-0042,Sula Airstrip,BY
BY-1095,Postavy Air Base,BY
BY-1210,Maladzyechna Air Base,BY
BY-3111,Zhurzhevo Air Base,BY
BY-4247,Pribytki Air Base,BY
BY-7836,Smarhon Air Base,BY
BY-9934,Luninets Air Base,BY
BYA,Boundary Airport,US
BYL,Bella Yella Airport,LR
BYV,Beira Lake Seaplane Base,LK
BZ-0001,Chan Chich Airstrip,BZ
BZ-0002,Lighthouse Reef Airstrip,BZ
BZ-0003,San Felipe Airstrip,BZ
BZ-0004,Consejo Shores Airport,BZ
BZ-0005,Gold Button Airport,BZ
BZ-0006,Augustine Airstrip,BZ
BZ-0007,Privassion Airstrip,BZ
BZ-0008,Riversdale International Airport,BZ
BZ-0009,Old Belize Heliport,BZ
BZ-0010,Cisco Base Heliport,BZ
BZ-0011,Cayo Espanto Helipad,BZ
BZ-0012,Azul Resort Heliport,BZ
BZ-0013,Guacamallo Bridge Helipad,BZ
BZ-0014,Tres Leguas Airport,BZ
BZ-0015,Backlanding Airport,BZ
BZ-BCV,Hector Silva Airstrip,BZ
BZ-BGK,Big Creek Airport,BZ
BZ-CUK,Caye Caulker Airport,BZ
BZ-CYC,Caye Chapel Airport,BZ
BZ-CZH,Corozal Municipal Airport,BZ
BZ-DGA,Dangriga Airport,BZ
BZ-INB,Independence Airport,BZ
BZ-MDB,Melinda Airport,BZ
BZ-ORZ,Orange Walk Airport,BZ
BZ-PLJ,Placencia Airport,BZ
BZ-PND,Punta Gorda Airport,BZ
BZ-SJX,Sartaneja Airport,BZ
BZ-SPR,John Greif II Airport,BZ
BZ-SQS,Matthew Spain Airport,BZ
BZ-STU,Santa Cruz Airport,BZ
BZ-SVK,Silver Creek Airport,BZ
BZ-TZA,Sir Barry Bowen Municipal Airport,BZ
BZB,Bazaruto Island Airport,MZ
BZM,Bemolanga Airport,MG
BZS,Buzzards Point Seaplane Base,US
C00,Mercer County Airport,US
C01,Southern Cross Airport,US
C07,Mack Mesa Airport,US
C11,Amana Airport,US
C21,Commonwealth Health Center Heliport,MP
C23,Peleliu Airport,PW
C25,Waverly Municipal Airport,US
C37,Brodhead Airport,US
C39,Folsom Lake Seaplane Base,US
C40,Miller Airport,US
C43,Hiram Cure Airport,US
C44,Toutant Airport,US
C45,Manito Mitchell Airport,US
C54,Catron County Heliport,US
C55,Ogle County Airport,US
C56,Bult Field,US
C59,Lake Lawn Airport,US
C66,Monmouth Municipal Airport,US
C72,Cross Winds Airport,US
C82,Bresson Airport,US
C86,Freeport/Dornink Airport,US
C89,Sylvania Airport,US
C92,Mentone Airport,US
C94,Earlville Airport,US
C97,Lowell Airport,US
C98,Lake Village Airport,US
CA-0001,Lac-des-Loups Airport,CA
CA-0002,Pourvoirie Joncas Airstrip,CA
CA-0003,RCAF Station Buttress,CA
CA-0004,RCAF Station Aylmer,CA
CA-0005,RCAF Station Lincoln Park,CA
CA-0006,RCAF Station Carberry,CA
CA-0007,RCAF Station Fingal (No. 4 Bombing and Gunnery School),CA
CA-0008,RCAF Station Mossbank,CA
CA-0009,Hamlin Airport,CA
CA-0010,Maple Airport,CA
CA-0011,King City Airport,CA
CA-0012,RCAF Detachment Granum,CA
CA-0013,RCAF Pennfield Ridge,CA
CA-0014,RCAF Station Dafoe,CA
CA-0015,Maxville Airport,CA
CA-0016,Dog Creek Airport,CA
CA-0017,Agnes Lake Airport,CA
CA-0018,Aishihik Airport,CA
CA-0019,Albert Bay Airport,CA
CA-0020,Algar Tower Airport,CA
CA-0021,Amber Tower Airport,CA
CA-0022,Anama Bay-Dauphin River Airport,CA
CA-0023,Anderson Point Airport,CA
CA-0024,Anderson Ranch Airport,CA
CA-0025,Anglemont Airport,CA
CA-0026,Arthur North Airport,CA
CA-0027,Asbestos Airport,CA
CA-0028,"Sundance Guest Ranch ""C"" Airport",CA
CA-0029,Crystal Lake Airport,CA
CA-0030,Atkinson Point DEW Line Station,CA
CA-0031,Austin Airport,CA
CA-0032,Aylmer Airport,CA
CA-0033,Baskatong Lake Airport,CA
CA-0034,Basnett Airport,CA
CA-0035,Batnuni Airport,CA
CA-0036,Bay d'Espoir Airport,CA
CA-0037,Bear River Airport,CA
CA-0038,Beatton River Airport,CA
CA-0039,Beaulieu River Airport,CA
CA-0040,Beausejour Airport,CA
CA-0041,Beaver River Airport,CA
CA-0042,Beaverdell Airport,CA
CA-0043,1669 Diamondview Road Private Strip,CA
CA-0044,Belledune Airport,CA
CA-0045,Bennett Field Airport,CA
CA-0046,Berland Airport,CA
CA-0047,Bernard Harbour DEW Line Station,CA
CA-0048,Bethany Airport,CA
CA-0049,Big Creek Airport,CA
CA-0050,Bird Airport,CA
CA-0051,Bison Airport,CA
CA-0052,Wallace Lake Airport,CA
CA-0053,Blissville Airport,CA
CA-0054,Blow River Airport,CA
CA-0055,Bonavista Airport,CA
CA-0056,Saint-Bernard-de-Lacolle Airport,CA
CA-0057,Boston Bar Airport,CA
CA-0058,Bray Island DEW Line Station,CA
CA-0059,Brazeau Airport,CA
CA-0060,Bredenbury Airport,CA
CA-0061,Bristol Field Airport,CA
CA-0062,1797 Diamondview Road Private Strip,CA
CA-0063,Buchans Airport,CA
CA-0064,Buckingham Airport,CA
CA-0065,Budworm City Airport,CA
CA-0066,Buffalo Creek Airport,CA
CA-0067,Burrage Creek Airport,CA
CA-0068,Burtch Airport,CA
CA-0069,Knutsford Airfield,CA
CA-0070,Byron Bay DEW Line Station,CA
CA-0071,Cabin Creek Airport,CA
CA-0072,Cabin Airport,CA
CA-0073,Calgary (Children's Hospital) Heliport,CA
CA-0074,Campbellford Airport,CA
CA-0075,Terra Mining Airport,CA
CA-0076,Cape Christian Airport,CA
CA-0077,Cape Dyer Airport,CA
CA-0078,Cape Hooper DEW Line Station,CA
CA-0079,Cape Jones Airport,CA
CA-0080,Cape Parry DEW Line Station,CA
CA-0081,Cape Young DEW Line Station,CA
CA-0082,Carberry Airport,CA
CA-0083,Carrot River Airport,CA
CA-0084,Casey Airport,CA
CA-0085,Casino Airport,CA
CA-0086,Cavendish Airport,CA
CA-0087,Charlotte Lake Airport,CA
CA-0088,Navan Bearbrook Airport,CA
CA-0089,Chilko Lake (Wilderness Ranch) Airport,CA
CA-0090,Chipmunk Airport,CA
CA-0091,Chunamon Airport,CA
CA-0092,Churchill Falls Airport,CA
CA-0093,Clearwater Airport,CA
CA-0094,Clifton Point DEW Line Station,CA
CA-0095,Clinton Creek Airport,CA
CA-0096,Clinton Point DEW Line Station,CA
CA-0097,Coal Valley Airport,CA
CA-0098,Comet Airport,CA
CA-0099,Cormorant Lake Airport,CA
CA-0100,Covey Hill Airport,CA
CA-0101,Cowpar Airport,CA
CA-0102,Crater Airport,CA
CA-0103,Crater Airport,CA
CA-0104,Crawfish Lake Airport,CA
CA-0105,Cree Lake Airport,CA
CA-0106,Crooked Lake Airport,CA
CA-0107,Cullaton Lake Airport,CA
CA-0108,Culloden Airport,CA
CA-0109,Cypre River Airport,CA
CA-0110,Cap-de-la-Madeleine,CA
CA-0111,Davis Inlet Airport,CA
CA-0112,Deception Airport,CA
CA-0113,Dewar Lakes DEW Line Station,CA
CA-0114,Discovery Airport,CA
CA-0115,RCAF Station Caron,CA
CA-0116,Douglastown Airport,CA
CA-0117,Drake Point Airport,CA
CA-0118,Drake Point Airport,CA
CA-0119,Driftwood Airport,CA
CA-0120,RCAF Detachment Shepard,CA
CA-0121,Fort Franklin Airport,CA
CA-0122,Eaglenest Airport,CA
CA-0123,Eaglesham Airport,CA
CA-0124,East Templeton Airport,CA
CA-0125,Bremner Airport,CA
CA-0126,Namao Airport,CA
CA-0127,Edmunston (Fraser Papers Inc) Heliport,CA
CA-0128,Eltrut Airport,CA
CA-0129,Esker Lake Airport,CA
CA-0130,Espanola (East) Airport,CA
CA-0131,Espanola (West) Airport,CA
CA-0132,Finbow Airport,CA
CA-0133,Foggy Tower Airport,CA
CA-0134,Fort George Airport,CA
CA-0135,Fort McMurray Heliport,CA
CA-0136,Fort Nelson (Forestry) Heliport,CA
CA-0137,Mobil Sierra Airport,CA
CA-0138,Tompkins Mile 54 Airport,CA
CA-0139,Fredericton (Forestry Centre) Heliport,CA
CA-0140,Gagnon Airport,CA
CA-0141,Germansen Landing Airport,CA
CA-0142,Gift Lake Airport,CA
CA-0143,Gladman Point DEW Line Station,CA
CA-0144,Gladstone (Costella Field) Airport,CA
CA-0145,Glendon Airport,CA
CA-0146,Gold Creek Airport,CA
CA-0147,Gold River Airport,CA
CA-0148,Goose River Airport,CA
CA-0149,Gore's Landing Airport,CA
CA-0150,Grand Valley Airport,CA
CA-0151,Grant Point Airport,CA
CA-0152,Gun Lake Airport,CA
CA-0153,Hagersville Airport (No. 16 SFTS),CA
CA-0154,Halifax (South Battery) Heliport,CA
CA-0155,Hart River Airport,CA
CA-0156,Hartney Airport,CA
CA-0157,Haskett Airport,CA
CA-0158,Henik Lake Airport,CA
CA-0159,Pontiac Airpark,CA
CA-0160,Highwood Livestock Auction Airport,CA
CA-0161,King Ranch Airport,CA
CA-0162,Hodgeville Airport,CA
CA-0163,Hornes Gulch Airport,CA
CA-0164,Horton River DEW Line Station,CA
CA-0165,Hotchkiss Airport,CA
CA-0166,House Mountain Airport,CA
CA-0167,Howick Airport,CA
CA-0168,Indian Head Airport,CA
CA-0169,Indian River Airport,CA
CA-0170,Inuvik Townsite Airport,CA
CA-0171,Isachsen Airport,CA
CA-0172,Jedney Airport,CA
CA-0173,Jellicoe Airport,CA
CA-0174,Jenny Lind Island DEW Line Station,CA
CA-0175,Johanson Lake Airport,CA
CA-0176,Johnson Point Airport,CA
CA-0177,Kakwa Airport,CA
CA-0178,Kaskattama Airstrip,CA
CA-0179,Kaybob South Airport,CA
CA-0180,Keane Tower Airport,CA
CA-0181,Keg River Airport,CA
CA-0182,Keg Tower Airport,CA
CA-0183,Keith Bay DEW Line Station,CA
CA-0184,Kelvington (Mennie Field) Airport,CA
CA-0185,Kenakskaniss Airport,CA
CA-0186,Ketza River Airport,CA
CA-0187,Citadelle de Québec Heliport,CA
CA-0188,Kilometer 176 Airport,CA
CA-0189,Kimsquit Airport,CA
CA-0190,Kincaid Airport,CA
CA-0191,King Christian Airport,CA
CA-0192,Kivitoo DEW Line Station,CA
CA-0193,Klappan River Airport,CA
CA-0194,Kluakaz Airport,CA
CA-0195,Kluatanton Airport,CA
CA-0196,Komakuk Beach DEW Line Station,CA
CA-0197,Kotcho Airport,CA
CA-0198,La Grande Airport,CA
CA-0199,Lac Éon Airport,CA
CA-0200,Manic 5 Heliport,CA
CA-0201,Lady Franklin Point DEW Line Station,CA
CA-0202,Laforge-1 Airport,CA
CA-0203,Lambert Creek Tower Airport,CA
CA-0204,Lemoray Airport,CA
CA-0205,Moose Jaw Westair - Old Airport,CA
CA-0206,Liard Construction Airport,CA
CA-0207,Liard River Airport,CA
CA-0208,Little Salmon Airport,CA
CA-0209,Livingstone Airport,CA
CA-0210,Lodgepole Airport,CA
CA-0211,Longstaff Bluff DEW Line Station,CA
CA-0212,Lougheed Island Airport,CA
CA-0213,Lupin Airport,CA
CA-0214,Lytton Airport,CA
CA-0215,Macfarland Airport,CA
CA-0216,Mackar Inlet DEW Line Station,CA
CA-0217,Magda Lake Airport,CA
CA-0218,Magundy Airport,CA
CA-0219,Mahatta River Airport,CA
CA-0220,Mallard Airport,CA
CA-0221,Malloch Dome Airport,CA
CA-0222,Marilla Airport,CA
CA-0223,Marten Hills Airport,CA
CA-0224,Maryfield Airport,CA
CA-0225,Matheson Point DEW Line Station,CA
CA-0226,Meander River Airport,CA
CA-0227,Mesilinka River Airport,CA
CA-0228,Mica Creek Airport,CA
CA-0229,Middle Stewiacke Airport,CA
CA-0230,Midway Airport,CA
CA-0231,Mile 102 Dempster Highway Airport,CA
CA-0232,Mile 129 Mackenzie Highway Airport,CA
CA-0233,Mile 134 Airport,CA
CA-0234,Mile 203 Dempster Highway Airport,CA
CA-0235,Mile 36 Airport,CA
CA-0236,Mile 80 Airport,CA
CA-0237,East Barriere Lake,CA
CA-0238,Minaki Airport,CA
CA-0239,Minto Airport,CA
CA-0240,Moh Creek Airport,CA
CA-0241,Moose Lake Airport,CA
CA-0242,Moose Valley Airport,CA
CA-0243,Mosque Airport,CA
CA-0244,Mossbank Airport,CA
CA-0245,Mould Bay Airport,CA
CA-0246,Aquila Field Airport,CA
CA-0247,Mount Flett Airport,CA
CA-0248,Mount Nansen Airport,CA
CA-0249,Stevensville Seaplane Base,CA
CA-0250,Mountain River Airport,CA
CA-0251,Muddy Lake Airport,CA
CA-0252,Murdochville Airport,CA
CA-0253,Muskegsagagen Lake Airport,CA
CA-0254,Mégantic Airport,CA
CA-0255,Namew Lake Airport,CA
CA-0256,Nanook Airport,CA
CA-0257,Nanton (Green Farms) Airport,CA
CA-0258,New Zealand Airport,CA
CA-0259,Nicholson Peninsula DEW Line Station,CA
CA-0260,Nimpo Lake Airport,CA
CA-0261,Nipisi Airport,CA
CA-0262,RCAF Station Davidson,CA
CA-0263,Nokomis Airport,CA
CA-0264,Nordegg River Airport,CA
CA-0265,Eastmain Mine Airstrip,CA
CA-0266,North Monetville Skypark Airport,CA
CA-0267,Notikewin Airport,CA
CA-0268,Obonga Airport,CA
CA-0269,Ogilvie Airport,CA
CA-0270,Orangeville Airport,CA
CA-0271,Oriskany Airport,CA
CA-0272,Otter Lakes Airport,CA
CA-0273,Panny Airport,CA
CA-0274,Paradise River Airport,CA
CA-0275,Parrsboro Airport,CA
CA-0276,Parson Airport,CA
CA-0277,Paulson Airport,CA
CA-0278,Three Creeks Airport,CA
CA-0279,Pearce Point DEW Line Station,CA
CA-0280,RCAF Station Pearce,CA
CA-0281,Pelly Bay (DEW Site) Airport,CA
CA-0282,Pelly Lake Airport,CA
CA-0283,Pennfield Ridge Airport,CA
CA-0284,Perrault Falls Airport,CA
CA-0285,Petrel Airport,CA
CA-0286,Petrolia Airport,CA
CA-0287,Pineimuta Municipal Airport,CA
CA-0288,Polaris (Little Cornwallis Island) Airport,CA
CA-0289,Ponteix Airport,CA
CA-0290,Porcupine Airport,CA
CA-0291,Port Albert Airfield,CA
CA-0292,Port Eliza Airport,CA
CA-0293,Port Radium Airstrip,CA
CA-0294,Port-Cartier Airport,CA
CA-0295,Pottageville Airport,CA
CA-0296,Kencor Airport,CA
CA-0297,Primrose Airport,CA
CA-0298,Princess Airport,CA
CA-0299,Prophet River Airport,CA
CA-0300,Prospect Lake Airport,CA
CA-0301,Purtuniq Airport,CA
CA-0302,Quatam River Airport,CA
CA-0303,Mobil 1128 Airport,CA
CA-0304,Ram Falls Airstrip,CA
CA-0305,Raspberry Airport,CA
CA-0306,Rea Point Airport,CA
CA-0307,Orono / Hawkefield Aerodrome,CA
CA-0308,Redvers Airport,CA
CA-0309,Renous Airport,CA
CA-0310,Richardson Airport,CA
CA-0311,Risks Creek Airport,CA
CA-0312,Kingston Airfield,CA
CA-0313,Rivers Airport,CA
CA-0314,Rivière-Ouelle Airport,CA
CA-0315,Rodney Airport,CA
CA-0316,Ross Bay Junction Airport,CA
CA-0317,Ross Point DEW Line Station,CA
CA-0318,Round Hill Airport,CA
CA-0319,Rowley Island DEW Line Station,CA
CA-0320,Russell Lake Airport,CA
CA-0321,Réservoir Gouin (Pourvoirie Oasis) Airport,CA
CA-0322,Saglek Airport,CA
CA-0323,Private Airstrip,CA
CA-0324,Saltspring Island Airport,CA
CA-0325,Sarcpa Lake DEW Line Station,CA
CA-0326,Saulteaux Airport,CA
CA-0327,Savant Lake Airport,CA
CA-0328,Sawmill Bay Airport,CA
CA-0329,Scar Creek Airport,CA
CA-0330,Scud River Airport,CA
CA-0331,Shekilie Airport,CA
CA-0332,Shell 13 Airport,CA
CA-0333,Shepherd Bay DEW Line Station,CA
CA-0334,Sherard Bay Airport,CA
CA-0335,Sherman Meadows Airport,CA
CA-0336,Sheslay Airport,CA
CA-0337,Nass Camp Airstrip,CA
CA-0338,Shingle Point DEW Line Station,CA
CA-0339,Carmanah Point Lighthouse Heliport,CA
CA-0340,Sikanni Chief Airport,CA
CA-0341,Simcoe Airport,CA
CA-0342,Simpson Lake DEW Line Station,CA
CA-0343,Skocdopole Farms Airport,CA
CA-0344,Smeaton Airport,CA
CA-0345,Smith River Airport,CA
CA-0346,Smoky City Airport,CA
CA-0347,Smoky Tower Airport,CA
CA-0348,Snag Airport,CA
CA-0349,Squanga Lake Airport,CA
CA-0350,St-Gabriel-De-Brandon Airport,CA
CA-0351,St-Joseph-De-St-Hyacinths Airport,CA
CA-0352,St-Prosper (Pel) Airport,CA
CA-0353,St-Simon-De-Bagot Airport,CA
CA-0354,St. Aldwyn Airport,CA
CA-0355,St. Anthony Airport,CA
CA-0356,Saint-Léonard (Cyr) Airport,CA
CA-0357,Stave Lake Airport,CA
CA-0358,Ste-Anne-De-Sorel Airport,CA
CA-0359,Sainte-Croix Airport,CA
CA-0360,Chucker Farm Airport,CA
CA-0361,Steeper Airport,CA
CA-0362,Stewart Lake Airport,CA
CA-0363,Stobart Creek Airport,CA
CA-0364,Stokes Point DEW Line Station,CA
CA-0365,Strandberg Creek Airport,CA
CA-0366,Stratford Airport,CA
CA-0367,Strathmore (Duke) Airport,CA
CA-0368,McClain Farm Airport,CA
CA-0369,Sturdee Valley Airport,CA
CA-0370,Sturdee Airport,CA
CA-0371,Sturgeon Falls Airport,CA
CA-0372,Sturgeon Landing Airport,CA
CA-0373,Sturt Point DEW Line Station,CA
CA-0374,Sweetgrass Landing Airport,CA
CA-0375,Tabu Airport,CA
CA-0376,Talbot Lake Airport,CA
CA-0377,Tatla Lake Airport,CA
CA-0378,Terrace Bay Airport,CA
CA-0379,Tetachuck Lake Airport,CA
CA-0380,Tottenham/Ronan Aerodrome,CA
CA-0381,Thunder Lake Airport,CA
CA-0382,Thunder River Airport,CA
CA-0383,Thurston Lake Airport,CA
CA-0384,Tintina (Conwest) Airport,CA
CA-0385,Baie-Trinité Airport,CA
CA-0386,Trout Brook Airport,CA
CA-0387,Trout Mountain Airport,CA
CA-0388,Tuktoyaktuk (Imperial) Airport,CA
CA-0389,Tununuk DEW Line Station,CA
CA-0390,Twin Lakes Airport,CA
CA-0391,Ullswater Airport,CA
CA-0392,Dunphy Airport,CA
CA-0393,Upper Kent Airport,CA
CA-0394,Utikuma River Airport,CA
CA-0395,Valemount Aerodrome,CA
CA-0396,Burnaby (Terminal) Heliport,CA
CA-0397,Vankleek Hill Airport,CA
CA-0398,Vanscoy Airport,CA
CA-0399,Mcdonald's Farm Airport,CA
CA-0400,Mile 100 Airport,CA
CA-0401,Wadlin Tower Airport,CA
CA-0402,Washademoak Airport,CA
CA-0403,Webbwood Airport,CA
CA-0404,Werenko Airport,CA
CA-0405,Nudluardjk Lake / West Baffin DEW Line Station,CA
CA-0406,Whitecourt (Forestry) Heliport,CA
CA-0407,Wiebenville Airport,CA
CA-0408,Wildhay Airport,CA
CA-0409,"Milford ""Heliport"" (PPR)",CA
CA-0410,Willow Creek Airport,CA
CA-0411,Wingham (Inglis Field) Airport,CA
CA-0412,Winisk Airport,CA
CA-0413,Wolf Lake Airport,CA
CA-0414,Worsley Airport,CA
CA-0415,Woss Airport,CA
CA-0416,Wrong Lake Airport,CA
CA-0417,Yarbo Airport,CA
CA-0418,Yates Tower Airport,CA
CA-0419,Yellowknife (Aero Arctic) Heliport,CA
CA-0420,Miramar Con Mines Heliport,CA
CA-0421,E C Air Airport,CA
CA-0422,Yoyo Airport,CA
CA-0423,Île d'Orléans Heliport,CA
CA-0424,Witwer Airfield,CA
CA-0425,Seeley Lake Field,CA
CA-0426,Herb's Travel Plaza Airstrip,CA
CA-0427,Disley Airport,CA
CA-0428,Elbow Airstrip,CA
CA-0429,Stevensville Airstrip,CA
CA-0430,Port Hope (Peter's Field) Airport,CA
CA-0431,Newtonville / Steeves Field,CA
CA-0432,Regina / Aerogate Airport,CA
CA-0433,Picton (Prince Edward County Hospital) Heliport,CA
CA-0434,Jarvis (No.1 Bombing & Gunnery School),CA
CA-0435,WESCAM Burlington,CA
CA-0436,Kohler Airstrip,CA
CA-0437,White's Airstrip,CA
CA-0438,Scott's Airstrip,CA
CA-0439,Wellington Airstrip,CA
CA-0440,Point Petre Helipad,CA
CA-0441,Edmonton / St. Albert,CA
CA-0442,Little's Farm,CA
CA-0443,Brier Island Airstrip,CA
CA-0444,Beaverton Airport,CA
CA-0445,RCAF Detachment Standoff,CA
CA-0446,Stuart Island Airstrip,CA
CA-0447,Gamble Field,CA
CA-0448,Willow Lake Airstrip,CA
CA-0449,Woodstock Private Airstrip,CA
CA-0450,Monte Creek Airstrip,CA
CA-0451,Prichard Airstrip,CA
CA-0452,Courtland / Tillsonburg Flying Club Field,CA
CA-0453,Sheridan Lake Airstrip,CA
CA-0454,Baker's Valley Aerodrome,CA
CA-0455,Brisbane,CA
CA-0456,Roseville Field,CA
CA-0457,L'Île d'Entrée Airfield,CA
CA-0458,Newcastle (Morgan's Road) Heliport,CA
CA-0459,Seagrave Airfield,CA
CA-0460,Utica Airfield,CA
CA-0461,Brougham High Perspective Hang Glider Port,CA
CA-0462,Montreal / Vieux Port,CA
CA-0463,Saint-François-de-Laval (Laval Aviation),CA
CA-0464,Saint-François-de-Laval (Laval Aviation),CA
CA-0465,Hampton,CA
CA-0466,Hampton / Morawetz Field,CA
CA-0467,Ajax / Picov Downs Airport,CA
CA-0468,Sandford Field,CA
CA-0469,Belle River Field,CA
CA-0470,Ruscom Station Field,CA
CA-0471,Colinville Field,CA
CA-0472,Tyneside Field,CA
CA-0473,Burnaby Field,CA
CA-0474,Whati Airport Seaplane Base,CA
CA-0475,Dugan Lake Air Strip,CA
CA-0476,Williams Lake / Lee Todd Heliport,CA
CA-0477,Williams Lake / Clusko Logging,CA
CA-0478,Williams Lake / Highland Helicopters,CA
CA-0479,Williams Lake / Wayne Peterson Heliport,CA
CA-0480,Williams Lake / Pioneer Heliport,CA
CA-0481,Elizabethville Airstrip,CA
CA-0482,Brussels / Hemingway Field,CA
CA-0483,Armour Heights Field,CA
CA-0484,Barker Field,CA
CA-0485,De Lesseps Field,CA
