TERM,MEANING
42,"the answer to the ultimate question of life, the universe, and everything (from 'The Hitchhiker's Guide to the Galaxy' by Douglas Adams)"
486,Intel 80486 processor
4B5BLF,4 Byte 5 Byte Local Fiber
4G,Fourth Generation
4GL,Fourth-generation Programming Language
4NF,Fourth Normal Form
5GL,Fifth-Generation Programming Language
5NL,Fifth Normal Form
6NF,Sixth Normal Form
7W,seven wastes
8-VSB,8-level vestigial sideband
802.11,Wireless LAN
8B10BLF,8 Byte 10 Byte Local Fiber
A+,A Plus
A.I.,Airborne Internet
A/m,"Oe, oersted ampere per meter"
A11Y,Accessibility
AA,modem lights
AAA,"Authentication,Authorization,Accounting"
AABB,Axis Aligned Bounding Box
AAC,Advanced Audio Coding
AACS,Advanced Access Content System
AAI,Applied Artificial Intelligence
AAM,Automatic Acoustic Management
AAR,Apple Authorized Reseller
AARP,AppleTalk Address Resolution Protocol
AAS,as a service
AAS,Auto Area Segmentation
AAUI,Apple attachment unit interface
ab,W abohm
abA,abampere
ABAP,Advanced Business Application Programming
ABB,activity-based budgeting
ABBH,average bouncing busy hour
abC,abcoulomb
ABC,"activity-based costing, Atanasoff-Berry Computer"
abend,abnormal end
abF,abfarad
abH,abhenry
ABIOS,Advanced BIOS
ABM,activity-based management
ABP,"AdBlock Plus, Microsoft Exchange Address Book Policy"
ABR,"AutoBaud Rate or Available Bit Rate"
abS,absiemens
abV,abvolt
ABVS,Automated Best Value System
abW,abwatt
AC,Alternating Current
AC-3,Dolby Digital
ACCT,Account
ACD,Automatic Call Distributor
ACE,Access Control Entry
ACeS,Asia Cellular Satellite System
ACF2,Access Control Facility
ACH,Automated Clearing House
ACID,"Atomicity, Consistency, Isolation, Durability"
Ack,Acknowledgement
ACL,Access Control List
ACM,Association for Computing Machinery
ACO,accountable care organization
ACPI,Advanced Configuration and Power Interface
ACR,"Absolute Cell Reference, attenuation-to-crosstalk ratio"
ACT,Application Compatibility Toolkit
ACTA,America's Carriers Telecommunications Association
ACTS,Automatic Coin Telephone System
ACV,all commodity volume
AD,Active Directory
ADAT,Alesis Digital Audio Tape
ADatP,Automated Data Processing
ADC,"Analog-to-Digital Converter, automated data collection"
ADE,qutomated data entry
ADF,Automatic Document Feeder
ADO,ActiveX Data Objects
ADP,Automatic Data Processing
ADPCM,adaptive differential pulse-code modulation
ADS,Alternate Data Stream
ADSI,Analog Display Services Interface
ADSL,Asymmetric Digital Subscriber Line
ADSM,ADSTAR Distributed Storage Management
AES,Advanced Encryption Standard 
AET,advanced evasion technique
AF,audio frequency
AFC,antiferromagnetically-coupled
AFIS,Automated Fingerprint Identification System
AFM,atomic force microscopy
AFP,"Advanced Function Printing, Apple Filing Protocol"
AFS,Andrew file system
aglet,agile applet
AGP,Accelerated Graphics Port
AGI,Artificial General Intelligence
AHA,Accelerated Hub Architecture
AHCI,Advanced Host Controller Interface
AHIMA,American Health Information Management Association
AHRQ,Agency for Healthcare Research and Quality
AHT,average handle time
AI,Artificial Intelligence
AIBO,Artificial Intelligence roBOt
AICPA,American Institute of Certified Public Accountants
AID,automatic identification
AIDC,Automatic Identification and Data Capture
AIFF,Audio Interchange File Format
AIM,application integration middleware
AIMS,agile infrastructure for manufactured systems
AIN,Advanced Intelligent Network
AIT,advanced intelligent tape
AIX,Advanced Interactive eXecutive
Ajax,Asynchronous JavaScript and XML
AKO,Army Knowledge Online
AL,access list
ALE,Application Link Enabling
ALM,application lifecycle management
ALPR,Automated License Plate Recognition
alt.,alternate newsgroup
ALU,Arithmetic Logic Unit
AMD,Advanced Micro Devices
AMD-V,AMD virtualization
AMI,"advanced metering infrastructure, Amazon Machine Image"
AMIA,American Medical Informatics Association
AML,anti-money laundering software
AMPS,Advanced Mobile Phone Service
AMR,"ambulatory medical record, Audio/Modem Riser, AMR slot, automated meter reading"
AMT,advanced manufacturing technology
AMTOR,amateur teleprinting over radio
ANI,Automatic Number Identification
ANQP,Access Network Query Protocol
ANSI,American National Standards Institute
AoE,ATA over Ethernet
AOI,automated optical inspection
AOP,aspect-oriented programming
AOSP,Android Open Source Project
AP,"accounts payable,Adaptive Planning"
Apache Hadoop YARN,Yet Another Resource Negotiator
APAR,authorized program analysis report
API,Application Programming Interface
APICS,American Production and Inventory Control Society
APIPA,Automatic Private IP Addressing
APL,a programming language
APM,"Advanced Power Management, Application Performance Monitoring, Application Portfolio Management"
APO,"Advanced Planner and Optimizer, advanced planning and optimization"
AppBlast,Project AppBlast
APPC,Advanced Program-to-Program Communication or LU 6.2
APPN,Advanced Peer-to-Peer Networking
APQP,advanced product quality planning
APS,Advanced Planning and Scheduling
APT,Advanced Persistent Threat
APU,Accelerated Processing Unit
AR,Accounts Receivable
AR,Augmented Reality
ARAX,Asynchronous Ruby and XML
ARIN,American Registry of Internet Numbers
ARJ,Archive Robert Jung
ARP,Address Resolution Protocol
ARPA,Advanced Research Projects Agency
ARPU,average revenue per user or average revenue per unit
ARQ,Automatic Repeat Request
ARRA,American Recovery and Reinvestment Act of 2009
ARRL,American Radio Relay League
AS,Autonomous System
AS/400,"IBM iSeries, AS/400e, eServer iSeries/400"
AS1,Applicability Statement 1
AS2,Applicability Statement 2
ASAP,AcceleratedSAP
ASCII,American Standard Code for Information Interchange
ASD,Agile Software Development
ASE,Adaptive Server Enterprise
ASF,Apache Software Foundation
ASHRAE,"American Society of Heating, Refrigerating, and Air-Conditioning Engineers"
ASIC,Application-Specific Integrated Circuit
ASIO,Audio Stream Input/Output
ASLR,address space layout randomization
ASN,advanced shipping notice
ASN.1,Abstract Syntax Notation One
ASP+,ASP.NET
ASP,Active Server Page
ASP,Application Service Provider
ASP,authorized service provider
ASPI,Advanced SCSI Programming Interface
ASPIC,Application Service Provider Industry Consortium
ASQ,American Society for Quality
ASR,automated speech recognition
ASRS,automated storage retrieval systems
ASSP,application-specific standard product
AST,automated storage tiering
ASTM,American Society for Testing and Materials
ASUG,Americas' SAP Users' Group
ASWF,Academy Software Foundation
ATA,Advanced Technology Attachment
ATA,American Telemedicine Association
ATA,analog telephone adapter
ATAPI,AT Attachment Packet Interface
ATE,automated test equipment
ATL,Active Template Library
ATM,Asynchronous Transfer Mode
ATO,assemble to order
ATP,advanced technology program
ATR,automated trouble reporting
ATS,applicant tracking system
ATSC,Advanced Television Systems Committee
ATU-R,ADSL Terminal Unit - Remote
ATV,advanced television
ATVEF,Advanced Television Enhancement Forum
ATX,Advanced Technology eXtended (a form factor for motherboards and power supplies)
AUI,attachment unit interface
AUP,acceptable use policy
AV,audio/video
AVA,anonymous video analytics
AVI,Audio Video Interleaved
AVL,approved vendor list
AVL,automatic vehicle locator
AVR,Audio/Video Receiver
AWG,American Wire Gauge 
AWIS,Alexa Web Information Service
AWS,Amazon Web Services
AWT,Abstract Window Toolkit
AXI,automated X-ray inspection
AXT,alien crosstalk
B8ZS,"bipolar 8-zero substitution, binary 8-zero substitution, clear channel, clear 64"
BA,business agility
BA,business analytics
BAA,broad agency announcement
BAA,HIPAA business associate agreement
BAL,Basic Assembler Language
BAL,branch-and-link
BAM,Bottleneck Allocation Methodology
BAM,business activity monitoring
BAPI,Business Application Programming Interface
Bash,Bourne-Again Shell
BASIC,Beginner's All-purpose Symbolic Instruction Code
BBCs,buffer credits or buffer-to-buffer credits
BBS,bulletin board system
BC,Set Business Configuration Set
BCBS,Basel Committee on Banking Supervision
BCC,Blind Carbon Copy
Bcc,blind carbon copy or blind courtesy copy
BCDR,Business Continuity and Disaster Recovery
BCI,brain-computer interface
BCM,business continuity management
BCMA,Bar Coded Medication Administration
BDaaS,big data as a service
BEDO,Burst Extended Data Output
BER,bit error rate
BES,BlackBerry Enterprise Server
BEST,Business / Enterprise State Transfer
BEx,Business Explorer
BGAN,Broadband Global Area Network
BGP,Border Gateway Protocol
BHIE,Bidirectional Health Information Exchange
BI,business intelligence
BIA,business impact analysis
BIC,"bank identifier code, Best In Class, business information center"
BICC,Bearer Independent Call Control
BICC,business intelligence competency center
BIOS,Basic Input/Output System
BISDN,Broadband Integrated Services Digital Network
BIST,Built In Self Test
bit,binary digit
BLE,Bluetooth Low Energy
BLOB,Binary Large OBject
BMAN,Broadband Metropolitan Area Network
BMC,baseboard management controller
BMP,Best Manufacturing Practices
BMP,Bitmap
BMS,battery management system
BNC,Bayonet Neil-Concelman or British Naval Connector
BOB,branch office box
BOC,Bell operating company
BOH,Balance On Hand
BOL,beginning of life
BOM,Bill Of Materials
BOOTP,Bootstrap Protocol
BP&F,"budgeting, planning and forecasting"
BPA,business process automation
BPaaS,Business Process as a Service
BPCS,Business Planning and Control System 
BPEL,Business Process Execution Language
BPI,business process improvement
BPL,Broadband over Power Line
BPM,business process management
BPMI,Business Process Management Initiative
BPML,Business Process Modeling Language
BPMN,Business Process Modeling Notation
BPMS,Business process management suite
BPO,business process outsourcing
BPR,Business Process Reengineering
bps,bit/sec bits per second
BPS,bulk power system
BRE,business rules engine
BREW,Binary Runtime Environment for Wireless
BRI,Basic Rate Interface
BSA,Bank Secrecy Act
BSA,Business Software Alliance
BSD,Berkeley Software Distribution
BSOD,Blue Screen of Death
BSP,business service provider
BT,business technology
BTF,Build To Forecast
BTM,business technology management
BTO,Build To Order
BTOP,Broadband Technology Opportunities Program
BTP,Business Transaction Protocol
BTS,Build To Stock
Btu,British thermal unit
BTX,Balanced Technology eXtended (a form factor for personal computer motherboards)
BU,backup utility
BURN-Proof,Buffer Under Run Error Proof
burst SRAM,SynchBurst SRAM
BYOA,Bring Your Own Apps
BYOC,Bring Your Own Cloud
BYOD,Bring Your Own Device
BYOE,Bring Your Own Encryption
BYOI,Bring Your Own Identity
BYON,Bring Your Own Network
BYOT,bring your own technology
BYOx,bring your own everything
C&C,server command-and-control server
C2C,Client to Client
CA,cellular automaton
CA,certificate authority
CaaS,Communications as a Service
CAC,call admission control
CAC,common access card
CACS,computer assisted coding system
CAD,Computer-Aided Design
CAD/CAM,computer-aided design/computer-aided manufacturing
CADE,Corporate Average Data center Efficiency
CAE,Computer-Aided Engineering
CAES,compressed air energy storage
CAFC,Container on Flat Car
CAFE,Corporate Average Fuel Economy
CAGR,Compound Annual Growth Rate
CAIV,Cost As (An) Independent Variable
CALEA,Communications Assistance for Law Enforcement Act
CALS,Continuous Acquisition and Life-Cycle Support
CAM,Computer-Aided Manufacturing
CAM,corporate account manager
CAM-I,Consortium for Advanced Manufacturing -- International
CAMM,Common Assurance Maturity Model
CAMU,Computerized Assembly Mock Up
CAN,Campus Area Network
CAN,corporate area network
CAP,carrierless amplitude/phase
CAP,theorem Brewer's theorem
Capex,capital expenditure
CAPI,Common Application Programming Interface
CAPM,cloud application performance management
CAPOSS,CApacity Planning and Operation Sequence Scheduling
CAPP,Computer-aided process planning
CAPTCHA,Completely Automated Public Turing Test to tell Computers and Humans Apart
CAS,channel-associated signaling
CAS,Client Access Server
CAS,content-addressed storage
CASA,Computer and Automated Systems Association
CASE,computer-aided software engineering
CASE,Computer-Aided System Engineering
CATT,Computer Aided Test Tool
CATV,community access television
CAVE,Cave Automatic Virtual Environment
CB,Citizen's Band Radio
CBA,cost-benefit analysis
CBC,cipher block chaining
CBSA,Component Based Solution Assembly
CBT,Changed Block Tracking
CBT,Computer-Based Training
CC,Common Criteria
CCB,Change Control Board
CCD,"Charge-Coupled Device, Continuity of Care Document"
CCEVS,Common Criteria Evaluation and Validation Scheme for IT Security
CCIE,Cisco Certified Internetwork Expert
CCITT,ITU-T Telecommunication Standardization Sector of the International Telecommunications
CCJ,collaborative citizen journalism
CCK,Complementary Code Keying
CCM,Color Changing Material
CCMM,cloud computing maturity model
CCMP,Counter Mode with Cipher Block Chaining Message Authentication Code Protocol
CCNA,Cisco Certified Network Associate 
CCNP,Cisco Certified Network Professional
CCO,chief customer officer
CCO,Corporate or Chief Compliance Officer
CCR,Central Contractor Registration
CCR,Continuity of Care Record
CCS,common channel signaling
CCS,hundred call second or centum call second
CCSP,Cisco Certified Security Professional
CCTV,closed circuit television
CD,cardholder data
CD,Continuous Delivery
CD,Compact Disc
CD-i,Compact Disc - interactive
CD-MO,CD-Magneto Optical
CD-R,"compact disc, recordable"
CD-ROM XA,"Compact Disc - read-only-memory, extended architecture"
CD-RW,"compact disc, rewriteable"
CDA,Clinical Document Architecture
CDC,change data capture
CDD,contract delivery date
CDDI,Copper Distributed Data Interface
CDE,cardholder data environment
CDE,Common Desktop Environment
CDF,Channel Definition Format
CDI,customer data integration
CDMA,Code-Division Multiple Access
CDN,content delivery network
CDO,chief data officer
CDO,Chief Digital Officer
CDO,Collaboration Data Objects
CDP,clean desk policy
CDPD,Cellular Digital Packet Data
CDR,call detail record
CDR,Computed Dental Radiography
CDSL,Consumer Digital Subscriber Line
CDSS,clinical decision support system
CDU,Coolant Distribution Unit
CdTe,cadmium telluride
CEBP,communications-enabled business processes
CELL,Cell processor
CEM,customer experience management
CEMS,Contract Electronic Manufacturing Services
CEP,complex event processing
CERCLA,"Comprehensive Environmental Response, Compensation and Litigation Act"
CERN,Conseil Europeen pour la Recherche Nucleaire
CERT,Computer Emergency Readiness Team
CES,Consumer Electronics Show
CF,CompactFlash card
CFAA,Computer Fraud and Abuse Act
CFAR,Collaboration Forecasting and Replenishment
CFB,ciphertext feedback
CFD,Computational Fluid Dynamics
CFI,custom factory integration
CFL,compact fluorescent light bulb
CFM,Continuous Flow Manufacturing
CFML,ColdFusion Markup Language
CFO,Chief Financial Officer
CFR,call failure rate
CG,Consumer Goods
CGDC,Computer Game Developers Conference (became GDC in 1998)
CGF,Computer-Generated Forces (Simulation)
CGI,common gateway interface
CGM,Computer Graphics Metafile
CGMP,Current Good Manufacturing Practices
CGO,Chief Green Officer
CHAP,Challenge-Handshake Authentication Protocol
CHDR,Clinical Data Repository/Health Data Repository
CHI,Computer-Human Interaction
CHI,Consolidated Health Informatics
CHIME,College of Healthcare Information Management Executives
CHKDSK,check disk
chmod,change mode
CHRO,chief human resources officer
CHTML,Compact HTML
CI,competitive intelligence
CI,Continuous Improvement
CI,continuous integration
CI,customer intelligence
CIA,"confidentiality, integrity, and availability"
CICS,Customer Information Control System
CIDM,Customer-Integrated Decision Making
CIDR,Classless Inter-Domain Routing or supernetting
CIDR,supernetting or Classless Inter-Domain Routing
CIFS,Common Internet File System
CIM,Common Information Model
CIO,Chief Information Officer
CIPE,Compressed Integrated Product Engineering
CIR,committed information rate
CIS,Center for Internet Security
CIS,cloud-integrated storage
CISA,Certified Information Systems Auditor
CISC,complex instruction set computer or computing
Cisco IOS,Cisco Internetwork Operating System
Cisco LISP,Location Identifier Separation Protocol
CISM,certified information security manager
CISO,chief information security officer
CISP-PCI, Cardholder Information Security Program - Payment Card Industry Data Security Standard
CISPA,Cyber Intelligence Sharing and Protection Act of 2011
CISS,Cisco Information Security Specialist
CISSP,Certified Information Systems Security Professional
CIW,Certified Internet Webmaster
CIW,Computer Intensive Workload
CKO,chief knowledge officer
CL,cluster log
CLASS,Capacity Loading and Operation Sequence Scheduling
CLEC,competitive local exchange carrier
CLI,"Command Line Interface, Command Line Interpreter, Common Language Infrastructure"
CLM,Council For Logistics Management
CLO,chief learning officer
CLOB,Character Large OBject
CLOS,Common Lisp Object System
CLR,Common Language Runtime
CM,configuration management
CM,content management
CM,Contract Manufacturer
CMA,Content Management Application
CMD,Command Prompt
CMDB,configuration management database
CMDM,Collaborative Master Data Management
CMIO,Chief Medical Information Officer
CMIP,Common Management Information Protocol
CMIS,Content Management Interoperability Services
CMM,Capability Maturity Model
CMO,chief marketing officer
CMOS,Complementary Metal–Oxide–Semiconductor
CMOx,conductive metal-oxide
CMR,customer-managed relationship
CMRP,Capacitated Material Requirements Planning
CMS,"Content Management System, Cisco Meeting Server, Conversational Monitor System"
CMTS,cable modem termination system
CMYK,"cyan, magenta, yellow, key"
CNA,converged network adapter
CNC,Computer Numerical Control
CNG,comfort noise generator
CNO,cluster name object
CNO,Computer Network Operations
CNR,Communication and Networking Riser
CO,capacity optimization
CO,central office 
COA,chart of accounts
COA,cloud-oriented architecture
COA,Continuous Ordering Agreement
COB,Chip On Board
COBOL,Common Business Oriented Language
COD,capacity on demand
Codec,"Coder-Decoder / Compressor-Decompressor / Compression-Decompression algorithm"
COGS,Cost of Goods Sold
CoIP,communications over Internet Protocol
COLA,"comp.os.linux.announce"
COLD,Computer Output to Laser Disk
colo,colocation
COM,Component Object Model
CompTIA,Computing Technology Industry Association
CONUS,continental United States
COO,Cell of Origin
COO,Chief Operating Officer
COO,Cost of Ownership
COPE,"corporate-owned, personally-enabled"
COPPA,Children's Online Privacy Protection Act
COPS,Common Open Policy Service Protocol
CORBA,Common Object Request Broker Architecture
CoS,Class of Service
COTS,commercial off-the-shelf
CP,configuration profile
CP,control plane
CP,Cost Performance
CPCA,California Primary Care Association
CPE,customer premises equipment
CPG,consumer packaged goods
CPIM,Certified in Production and Inventory Management
CPIO,Chief Process and Innovation Officer
CPL,computer pidgin language 
CPM,Certified Purchasing Manager
CPM,corporate performance management
CPM,critical path method
CPNI,Customer Proprietary Network Information
CPO,Chief Procurement Officer
CPOE,computerized physician order entry
CPPS,Cost Performance Products Sector
CPRM,Content Protection for Removable Media
CPS,cycles per second
CPT,Current Procedural Terminology
CPU,Central Processing Unit
CPW,Commercial Processing Workload
CQA,Certified Quality Auditor
CQE,Certified Quality Engineer
CR,cognitive radio
CRA,customer relationship analysis
CRAC,computer room air conditioning unit
CRAH,computer room air handler
CRAM,challenge-response authentication mechanism
CRC,Cyclic Redundancy Check
CRL,Certificate Revocation List
CRM,citizen relationship management
CRM,Customer Relationship Management
CRO,Chief Risk Officer
CRP,Capacity Requirements Planning
CRT,cathode ray tube
CRT,Current Reality Tree
CRUSH,Controlled Replication Under Scalable Hashing
CSA,Cloud Security Alliance
CSAT,customer satisfaction
CSBB,Client Side Browser Based
CSC,common short code 
CSC,customer service chat
CSD,circuit switched data
CSI,Customer Satisfaction Index
CSIRT,Computer Security Incident Response Team
CSMA,Carrier Sense Multiple Access
CSO,Chief Security Officer
CSO,Chief Strategy Officer
CSP,Commerce Service Provider
CSR,"Certificate Signing Request, Carrier Sensitive Routing, corporate social responsibility"
CSS,"Cascading Style Sheets, Content Scrambling System, customer self-service, customer service and support"
CSV,Cluster Shared Volumes
CSV,Comma Separated Values (a file format)
CTC,click-to-talk
CTC,community technology center
CTCI,Computer-to-computer interface
CTD,cumulative trauma disorder
CTE,Committee on Trade and the Environment
CTFT,color thin film transistor
CTG,Council for Trade in Goods
CTI,computer-telephony integration
CTO,Chief Technology Officer
CTO,Configure To Order
CTOps,team counterthreat operations team
CTP,Capability To Promise
CTP,CloudTrust Protocol
CTP,common test platform
CTR,clickthrough rate
CUE,carbon usage effectiveness
CULV,consumer ultra-low voltage
CVC,Calibrated Vectored Cooling
CVE,Common Vulnerabilities and Exposures
CVO,chief visionary officer
CVS,Concurrent Versions System
CVV,card verification value
CWDM,coarse wavelength division multiplexing
CWE,Common Weakness Enumeration
CWF,common working file
CWNP,Certified Wireless Networking Professional
CX,consumer experience
CXF,Credential Exchange Format
CXO,chief experience officer
CXP,Credential Exchange Protocol
D-AMPS,Digital-Advanced Mobile Phone Service
D-VHS,Digital Video Home System
D2D,Disk to Disk
D2D2C,Disk to Disk to Cloud
D2D2T,Disk to Disk to Tape
DA,data analytics
DAA,Data Access Arrangement
DaaS,Desktop as a Service
DAB,Digital Audio Broadcasting
DAC,digital-to-analog conversion
DAC,Microsoft Dynamic Access Control
DAFS,Direct Access File System
DAG,database availability group
DAI,Dynamic ARP Inspection
DAM,database activity monitoring
DAMA,Design Anywhere Manufacture Anywhere
DAML,DARPA Agent Markup Language
DAO,Data Access Objects
DAQ,Data Acquisition
DARC,Defense Acquisition Regulatory Council
DAS,direct-attached storage
DAS,distributed antenna system
DASD,direct access storage device
DAT,Digital Audio Tape
DAW,digital audio workstation
DB,Database
DBA,database administrator
DBaaS,Database as a Service
dBc,decibels relative to carrier
DBCS,Double Byte Character Set
dBd,decibels related to dipole antenna
dBi,decibels relative to isotropic radiator
DBIR,Verizon Data Breach Investigations Report
dBm,decibels relative to one milliwatt
DBMS,Database Management System
dBmV,decibels relative to one millivolt
DBOR,database of record
dBr,decibels relative to reference level
DBS,demand-based switching
DBS,direct broadcast satellite
DC,direct current
DC,Distribution Center
DCaaS,data center as a service
DCB,data center bridging
DCCP,Datagram Congestion Control Protocol
DCE,Distributed Computing Environment
DCIE,data center infrastructure efficiency
DCIM,data center infrastructure management
DCIM,Digital Camera Images
DCIT,Digital Compression of Increased Transmission
DCM,dynamic case management
DCMA,Defense Contract Management Agency
DCML,Data Center Markup Language
DCO,data center outsourcing
DCOM,Distributed Component Object Model
DCOP,Desktop Communication Protocol
DCPA,Distributed Control Plane Architecture
DCPromo,Domain Controller Promoter
DCS,Distributed Control System
DDA,"Digital Differential Analyzer (graphics algorithm), or Digital Differential Analyzer"
DDB,Amazon Dynamo Database
DDBMS,distributed database management system
DDCD,Double-Density Compact Disk
DDD,"Data Display Debugger or Digital Digital Digital (CD mastering)"
DDDM,data-driven decision management 
DDE,Dynamic Data Exchange
DDK,driver development kit
DDL,Digital Data Link
DDL,Data Definition Language
DDM,demand-driven manufacturing
DDM,direct digital marketing
DDoS,Distributed Denial of Service
DDR,double data rate
DEC,Digital Equipment Corporation
DECT,Digital Enhanced Cordless Telecommunications
DECT,Digital European Cordless Telephone
DEM,Dynamic Enterprise Modeling
DEN,Directory-Enabled Networking
DES,Data Encryption Standard
DES,discrete event simulation
DES,Distributed Execution System
DFA,Design for Assembly
DFAA,Design for Automated Assembly
DFB,Distributed Feedback
DFD,Design for Disassembly
DFE,Design For Environment
DFL,Demand Flow Leadership
DFM,Demand Flow Management
DFM,digital footprint management
DFS,Distributed Factory System
DFS,distributed file system
DFSC,Design for Supply Chain
DFT,Demand Flow Technology
DG,data governance
DHA,directory harvest attack
DHCP,Dynamic Host Configuration Protocol
DICOM,Digital Imaging and Communications in Medicine
DID,Direct Inward Dialing 
DIF,Data Interchange Format
DIME,Direct Internet Message Encapsulation
DIMM,Dual In-line Memory Module 
direct,Telnet reverse Telnet
DirSync,Windows Azure Active Directory Sync
DISA,Defense Information Systems Agency
Diskpart,Disk Partition Utility
Divx,Digital Video Express
DLC,data link control
DLL,Dynamic Link Library
DLM,data life cycle management
DLP,data loss prevention
DLT,digital linear tape
DMA,Direct Memory Access
DMAIC,"define, measure, analyze, improve, control"
DMB,digital multimedia broadcasting
DMCA,Digital Millennium Copyright Act
DMD,Direct Metal Deposition
DMI,Desktop Management Interface
DMI,Digital Migration Interface
DMOS,Double Diffused MOS transistor
DMP,data management platform
DMP,dynamic multi-pathing
DMR,direct market reseller
DMS,Defense Message System
DMT,discrete multitone
DMTF,Distributed Management Task Force
DMVPN,dynamic multipoint VPN
DMZ,demilitarized zone
DNC,Direct Numerical Control
DNC,distributive numerical control
DND,Dungeons & Dragons (a computer game)
DNG,Digital Negative
DNIS,Dialed Number Identification Service
DNN,DotNetNuke
DNS,Domain Name System
DNSSEC,DNS Security Extensions
DNT,Do Not Track
DO,derived object 
DOCSIS,Data Over Cable Service Interface Specifications
DOD,Direct Outward Dialing
DOI,Digital Object Identifier
DOI,digital object identifier
DOL,Department of Labor
DOLAP,Desktop OnLine Analytical Processing
DOLS,Domino Off-Line Services
DOM,Document Object Model
DoPa,DoCoMo Packet Transmission
DoS,denial of service
DOS,Disk Operating System
DOVE,IBM DOVE
DP,data plane
DP,Design Postponement
DPA,differential power analysis
DPI,deep packet inspection
dpi,dots per inch
DPL,Digital Powerline
DPM,data protection management
DPMI,DOS Protected Mode Interface
DR,disaster recovery
DRA,data recovery agent
DRaaS,disaster recovery as a service
DRAM,Dynamic Random Access Memory 
DRBD,Distributed Replicated Block Device
DRC,Design Rule Checking
DRDRAM,Rambus Dynamic Random Access Memory
DRIPS,data reduction in primary storage
DRM,device relationship management
DRM,Digital Rights Management
DROP,delivery of real-time execution information protocol
DRP,disaster recovery plan
DRP,Distribution Requirements Planning
DRS,Storage Distributed Resource Scheduler
DSA,Digital Services Act (EU)
DSB,Dispute Settlement Body
DSC,Digital Still Camera
DSL,Domain-Specific Language
DSLAM,Digital Subscriber Line Access Multiplexer
DSLR,camera digital single lense reflux
DSML,Directory Services Markup Language
DSN,data source name
DSN,Deep Space Network
DSO,data source object
DSO,Days Sale Outstanding
DSO,exploit data source object exploit
DSOM,Distributed System Object Model
DSP,Digital Signal Processing
DSP,Digital Signal Processor
DSR,Demand signal repository
DSR,Dynamic Source Routing
DSRM,Directory Services Restore Mode
DSRP,Demand Solutions Requirements Planning
DSS,Decision Support System
DSS,Digital Signature Standard
DSSS,direct sequence spread spectrum
DSSSL,Document Style Semantics and Specification Language
DST,Daylight Saving Time
DSTP,Data Space Transfer Protocol
DTD,Document Type Definition
DTE,Data Terminal Equipment
DTE,Direct-to-Edit
DTMF,dual tone multi frequency
DTN,disruption-tolerant network
DTP,Digital Text Platform
DTP,Distributed Transaction Processing
DTR,data transfer rate
DTTV,digital terrestrial television
DTV,digital television
DTX,discontinuous transmission 
DUNDi,Distributed Universal Number Discovery
Duqu,W32.Duqu
DUT,Device Under Test
DVB,Digital Video Broadcasting
DVD,Digital Versatile Disk
DVD,Digital Video Disk
DVD-A,DVD-Audio
DVI,Digital Visual Interface
DVMRP,Distance Vector Multicast Routing Protocol
DW,Data Warehousing
DWDM,dense wavelength division multiplexing
DXL,Domino Extensible Language
E&M,ear and mouth
E&O,Excess and Obsolete
E-CD,enhanced CD
E2E,exchange-to-exchange
E2K,Exchange 2000
E911,Enhanced 911
EA,emotions analytics
EA,enterprise architecture
EaaS,encryption as a service
EaaS,Ethernet as a service
EAC,Exchange Administration Center
EAI,enterprise application integration
EAI,External Application Interface
