TERM,MEANING
DQS,Discrete Quantum State
DRR,Double Replacement Reaction
DU,Depleted Uranium
Dy,Dysprosium
E,Energy
E,Exa- prefix (1018)
E1520,Propylene Glycol
EA,Epoxy Adhesive
EA,Ethyl Acetate
EAA,Ethylene Acrylic Acid
EAM,Embedded Atom Method
EAS,Electrophilic Aromatic Substitution
EB,Electrode Barrier
EBSD,Electron BackScatter Diffraction
EBT,Eriochrome Black T indicator
EC,Electron Capture
EC,Ethyl Carbonate
ECD,Electron Capture Detector
ECH,Enoyl-CoA Hydratase
EDI,Electrical De-Ionization
EDP,Ethylene Diamine Pyrocatehol
EDT,"1,2-Ethane DiThiol"
EDTA,Ethylene-Diamine-Tetra-Acetic acid
EE,Ether Extract
EEC,Equilibrium Equivalent Concentration
EEC,Evaporation Emission Control
EEEI,Effective Electron-Electron Interaction
EER,Equilibrium Exchange Rate
EET,Excitation Energy Transfer
EG,Ethylene Glycol
EGE,Ethylene Glycol Ether
EGO,Exhaust Gas Oxygen
EGR,Entropy Gradient Reversal
EGTA,Ethylene Glycol Tetraacetic Acid
EHF,Extremely High Frequency
EIC,Electromagnetically-Induced Chirality
ELF,Extremely Low Frequency
EM,ElectroMagnetic
EM,Elevated Moisture
EMA,Ethylene Methacrylic Acid
EMF,ElectroMotive Force
EN,Ethylene Naphthalate
EOF,ElectroOsmotic Flow
EP,Ethylene Polypropylene
EPA,Environmental Protection Agency
EPD,End Point Dilution
EPDM,Ethyl Propyl Diene Monomer
EPH,Extractable Petroleum Hydrocarbons
EPI,EPInephrine
Eq,Equivalent
Er,Erbium
ERW,Electrolyzed Reduced Water
Es,Einsteinium
ES,Excited State
ETOH,EThyl Alcohol
Eu,Europium
EV,Exceptional Vacuum
EVA,Ethylene Vinyl Acetate
EVOH,Ethylene Vinyl Alcohol
e–,electron
f,femto prefix (10-15)
F,Fluorine
FA,Fully Amorphous
FA,Furnace Annealing
FAC,Free Available Chlorine
FAD,Flavin Adenine Dinucleotide
FADE,Fast Atomic Density Evaluation
FAN,Free Amino Nitrogen
FAS,Fluorescence Actin Staining
FAS,Folic Acid Synthesis
FBC,"Fesser, Bishop and Campbell model"
FBD,Free Body Diagram
FBR,Fast Breeder Reactor
FC,Face Cell
FC,Face Centered
FC,Fragment Crystallization
FCC,Face Centered Cubic
FCC,Fluid Catalytic Cracking
FCC,Food Chemical Codex
FCCU,Fluidized Catalytic Cracking Unit
FCHC,Face Centered Hyper-Cubic
FCS,Fellow of the Chemical Society
FCS,Fire Control System
FCS,Fluorescence Correlation Spectroscopy
FE,Ferredoxin
FE,Free Energy
Fe,Iron
FGC,Flue Gas Conditioning
FIGD,Flow Injection/Gas Diffusion
FIGE,Field Inversion Gel Electrophoresis
FIPS,Fast Imaging Plasma Spectrometer
Fm,Fermium
FOS,FructoOligoSaccharide
FP,Freezing Point
FPD,Freezing Point Depression
FPLC,Fast Performance Liquid Chromatography
Fr,Francium
FRAP,Fluorine-Resistant Acid Phosphatase
FRS,Fellow of the Royal Society
FS,Free State
FSA,Formamidine Sulphinic Acid
FW,Formula Weight
G,Gauss
G,Gibbs Free Energy
G,"Giga prefix (109)"
G,"Glycine g,gram"
G,Guanosine
Ga,Gallium or Gauge
GaF,"Gallium(I)-fluorid"
GABA,Gamma-AminoButyric Acid
GAD,Glutamate Decarboxylase
GAG,Glycosaminoglycan
GBB,Gas Blow Back
GC,Geiger Counter
GCC,"Global Carbon Cycle, Global Climate Change, Glucocorticoid, or: Guanylyl Cyclase C"
GCMS,Gas Chromatographic Mass Spectrometer
Gd,Gadolinium
GDP,Guanosine DiPhosphate
GE,Genetic Engineering
Ge,Germanium
GE,Group Element
Gel,Gelatin
GEM,Genetically Engineered Microorganism
GEP,Good Engineering Practice
GER,"Gains Electrons,Reduction"
GFM,Gram Formula Mass
GFW,Gram Formula Weight
GHB,Gamma-Hydroxy Butyrate
GI,Galvanized Iron
GI,Glycemic Index
GLA,GaLactosidase Alpha
GLA,Gamma-caroxyglutamic Acid
GLA,Gamma-Linolenic Acid
GLC,Gas Liquid Chromatography
Glc,Glucose
Glk,Glucokinase
GM,Geiger-Mueller tube
GMM,Gram Molecular Mass
GP,Gas Phase
GP,Glycerate 3-Phosphate
GP,GlycoProtein
GPC,Gel Permeation Chromatography
GS,Guanosine Synthetase
GT,Greater Than
GTL,Gas To Liquid
GTN,Glyceryl TriNitrate
Gy,"Gray (radiation unit)"
H,"Enthalpy, Hydrogen"
h,"hecto prefix (102), Planck’s constant, convection heat transfer coefficient"
H2,Chemical formula for hydrogen gas (dihydrogen)
H2O,Chemical symbol for water - each molecule of water contains two atoms of hydrogen (H) joined to a single atom of oxygen (O)
Ha,"Hahnium (initial name for dubnium)"
HA,Hemagglutinin
HAA,HaloAcetic Acid
HAc,Acetaldehyde
HAc,Acetic Acid
HACCP,Hazard Analysis and Critical Control Points
HAP,Hazardous Air Pollutant
HAS,Helium Atom Scattering
HAS,HyAluronan Synthase
HAT,"Hypoxanthine, Aminopterin, Thymidine"
HAZMAT,HAZardous MATerials
Hb,Hemoglobin
HB,Hydrogen Bonded
HBC,Hemoglobin C
HBCD,HexaBromoCycloDodecane
HBD,Hydrogen Bond Donor
HC,HydroCarbon
HCA,HydroxyCarbonate Apatite
HCA,HydroxyCitric Acid
HCB,HexaChloroBenzene
HCFC,HydroChloroFluoroCarbon
HDA,High Density Amorphous ice
HDA,HydroxyDecanoic Acid
HDI,Hexamethylene DiIsocyanate
HE,Hektoen Enteric agar
He,Helium
HE,High Explosive
HEA,Hektoen Enteric Agar
HEK,HEKtoen enteric agar
HEL,High Energy Laser
HEMA,HydroxyEthylMethAcrylate
HEP,Half Equivalence Point
HEPA,High-Efficiency Particulate Air
HEPH,Heavy Extractable Petroleum Hydrocarbons
HEU,Highly Enriched Uranium
Hf,Hafnium
HF,Hartree-Fock Method
HF,Heat Flux
HF,High Frequency
HF,Hydrogen Fuel
HFA,HydroFluoroAlkane
HFB,HexaFluoroBenzene
HFC,HydroFluoroCarbon
HFLL,Half-Filled Landau Level
HFP,HexaFluoroPropylene
Hg,Mercury
Hgb,Hemoglobin
HHV,High Heating Value
HIC,Household And Industrial Chemical
HL,Half-Life
HL,Hydrogen Line
HLA,HyaLuronic Acid
HLB,Helium Light Band
HMF,HydroxyMethyl Furfural
HMW,High Molecular Weight
Ho,Holmium
HO,Hydroxyl radical
HOAc,Acetic Acid
HOMO,Highest Occupied Molecular Orbital
HOQS,Highest Occupied Quantum State
HP,High Pressure
HPHT,High Pressure/High Temperature
HPLC,High Pressure Liquid Chromatography
HPPT,High Pressure Phase Transformation
HPSV,High Pressure Sodium Vapor
Hr,Hour
HRA,Health Risk Assessment
Hs,Hassium
HS,Hidden States
HSAB,Hard and Soft Acids and Bases
HSV,High Shear Viscosity
HT,Heat Transport
HT,Heat Treated
HT,High Temperature
HTC,Heat Transfer Coefficient
HTGR,High Temperature Gas Reactor
HTH,High Test Hypochlorite
HTS,High Temperature Superconductor
HTST,High Temperature/Short Time
HV,High Viscosity
HV,High Voltage
HVLP,High Volume/Low Pressure
HY,High Yield
Hz,Hertz
HZT,HydroChloroThiazide
I,electrical current
I,Iodine
I,Isoleucine
i.i.d.,independent and identically distributed
IAEA,International Atomic Energy Agency
IAQ,Indoor Air Quality
IB,Ion Balance
IC,Ice Crystals
ICE,"Initial, Change, Equilibrium, or: Internal Combustion Engine"
ICP,Inductively Coupled Plasma
ICSC,International Chemical Safety Card
ICSD,Inorganic Crystal Structure Database
ICSN,Institut de Chimie des Substances Naturelles
IE,Inert Electrolyte
IE,Ionization Energy
IG,Inert Gas
iHOP,information Hyperlinked Over Proteins
IK,Inverse Kinematics
IMBR,Immersed Membrane BioReactor
IMF,InterMolecular Force
IMS,Industrial Methylated Spirit
In,Indium
InChI,International Chemical Identifier
IOC,InOrganic Contaminant
IOCB,Institute of Chemistry and Biochemistry
IOCM,International Organic Chemistry Meeting
IPA,IsoPropyl Alcohol
IQ,Iron Quality
IR,Incident Report
IR,InfraRed
IR,Ionizing Radiation
Ir,Iridium
IRM,Interference Reflection Microscopy
ISI,"In-Situ Interfermometer ISM,Industrial, Scientific, or Medical"
ISI,Initial State Interaction
IUPAC,International Union of Pure and Applied Chemistry
J,Joule
JAC,Journal of Analytical Chemistry
JAW,Just Add Water
JBC,Journal of Biological Chemistry
JCG,Journal of Crystal Growth
JCS,Journal of the Chemical Society
JOC,Journal of Organic Chemistry
k,Boltzmann constant
K,Karat
K,Kelvin
k,kilo prefix (102)
K,Potassium
Ka,Acid dissociation constant
Kd,Dissociation constant
KE,Kinetic Energy
Keq,Equilibrium constant
kg,kilogram
KGA,KetoGlutaric Acid
kHz,kilohertz
km,kilometer
KMT,Kinetic Molecular Theory
Kr,Krypton
KTM,Kinetic Thermal Mixing
kW,kilowatt
L,azimuthal quantum number
L,Inductance
L,Length
L,Leucine
L,liter
L,luminosity
Li,Lithium
LIBS,Laser Induced Breakdown Spectroscopy
LiP,Lithium Polymer battery
Liq,Liquid
LLD,Liquid Level Detection
LLE,Liquid-Liquid Equilibrium
LLNL,Lawrence Livermore National Laboratory
LMA,Low Moisture Absorption
LME,Liquid Metal Embrittlement
LMH,Liquid Hydrogen
LN,Liquid Nitrogen
ln,natural logarithm
LNG,Liquid Natural Gas
LO,Localized Orbitals
LOD,Loss On Drying
LOQ,Limit Of Quantification
LOX,Liquid Oxygen
LP,Liquid Petroleum
LP,Liquid Propane
LPA,Liquid Pressure Amplifier
LPG,Liquid Petroleum Gas
Lq,Liquid
Lqd,Liquid
Lr,Lawrencium
LSD,Lysergic Acid Diethylamide
LSE,Low Surface Energy
LT,Less Than
Lt,light
LT,Low Temperature
LTE,Local Thermodynamic Equilibrium
LTG,Liquid To Gas
LTOEL,Long Term Occupational Exposure Limit
Lu,Lutetium
LUMO,Lowest Unoccupied Molecular Orbital
LV,Low Volatility
LVS,Large Volume Sampler
Lw,Lawrencium (Changed to Lr)
LWC,Light Water Content
LWG,Liquid Water in Grams
M,concentration (Molarity)
m,mass
M,Mega prefix (106)
m,meter
M,Methyl
m,Milli prefix (10-3)
M,Molar
M,Molecule
M3/H,Cubic Meters per Hour
mA,milliampere
MAC,Mobile Analytical Chemical
MADG,Moisture Activated Dry Granulation
MAM,Methyl Azoxy Methanol
MASER,Microwave Amplification by Stimulated Emission of Radiation
MAX,MAXimum
mbar,millibar
MBBA,N-(4-MethoxyBenzylidene)-4-ButylAniline
MC,MethylCellulose
MCA,Multi Channel Analyzer
MCL,Maximum Contaminant Level
MCR,MultiComponent Reaction
MCT,Medium Chain Triglyceride
MCT,MonoCarboxylate Transporter
Md,Mendelevium
MDA,MethyleneDiAniline
MDCM,Mechanistically Defined Chemical Mixtures
MDI,Methylene Diphenyl diIsocyanate
MDMA,MethyleneDioxy-MethylAmphetamine
MDQ,Minimum Daily Quantity
me,mass of an electron
ME,Materials Engineering
ME,MEthyl group
MEE,Minimum Explosive Energy
MEG,MonoEthylene Glycol
MEL,MethylEthylLead
MES,MethylEthylSulfate
MeV,Million electronVolt or MegaelectronVolt
MF,Methyl Formate
MF,Micro Fiber
MFG,Molecular Frequency Generator
MFP,Maximum Freezing Point
MFP,Molecular Free Path
MFP,MonoFluoroPhosphate
Mg,Magnesium
mg,milligram
MGA,Modular Gas Analyser
MH,Metal Halide
MH,Methyl Hydroxide
MHz,MegaHertz
MIBK,MethylIsoButylKetone
MIDAS,Molecular Interactions Dynamics And Simulations
MIG,Metal Inert Gas
MIN,MINimum
min,minutes
MIT,MethylIsoThiazolinone
MKS,Meter-Kilogram-Second
MKSA,Meter-Kilogram-Second-Ampere
mL or ml,milliliter
ML,Mono Layer
mm,millimeter
MM,Molar Mass
mmHg,millimeters of mercury
Mn,Manganese
MNT,Molecular NanoTechnology
MO,Molecular Orbital
Mo,Molybdenum
MOAH,Mineral Oil Aromatic Hydrocarbon
MOH,Measurement of Hardness
mol,mole
MOL,molecule
MP,Melting Point
MP,Metal Particulate
MPD,"2-Methyl-2,4-PentaneDiol"
MPD,m-PhenyleneDiamine
MPH,Miles Per Hour
MPS,Meters Per Second
Mr,Relative Molecular mass
MRT,Mean Radiant Temperature
MS,Mass Spectrometry
ms,millisecond
MSDS,Material Safety Data Sheet
MSG,MonoSodium Glutamate
Mt,Meitnerium
MTBE,Methyl Tert-butyl Ether
MW,MegaWatt
mW,MilliWatt
MW,Molecular Weight
MWCNT,Multi-Walled Carbon NanoTube
MWCO,Molecular Weight CutOff
MWM,Molecular Weight Marker
n,nano prefix (10-9)
n,neutron
n,neutron emission
N,Newton
N,Nitrogen
N,Normal (concentration)
n,number of moles
n0,neutron
NA,Avogadro constant
NA,Not Active
NA,Nucleic Acid
Na,Sodium
NAA,N-AcetylasPartate
NAA,Naphtalic Acetic Acid
NAC,Naphthenic Acid Corrosion
NAD+,Nicotinamide Adenine Dinucleotide
NADH,"Nicotinamide Adenine Dinucleotide,Hydrogen (reduced)"
NADP,Nicotinamide Adenine Dinucleotide Phosphate
NAS,National Academy of Science
Nb,Niobium
NBC,"Nuclear, Biological, Chemical"
NBO,Natural Bond Orbital
NCE,New Chemical Entity
NCEL,New Chemical Exposure Limit
NCR,No Carbon Required
NCW,National Chemistry Week
Nd,Neodymium
Ne,Neon
NE,Non Equilibrium
NE,Nuclear Energy
NG,Natural Gas
NHE,Normalized Hydrogen Electrode
Ni,Nickel
NIH,National Institutes of Health
NiMH,Nickel Metal Halide
NIST,National Institute of Standards and Technology
nm,nanometer
NM,Non Metal
NMR,Nuclear Magnetic Resonance
NNK,Nicotine-derived Nitrosamine Ketone
No,Nobelium
NOAA,National Oceanic and Atmospheric Administration
NORM,Naturally Occurring Radioactive Material
NOS,Nitric Oxide Synthase
NOS,Nitrous Oxide
NOx,Nitrogen Oxides
Np,Neptunium
NR,Not Recorded
NS,Not Significant
NU,Natural Uranium
NV,Non-Volatile
NVC,Non-Volatile Chemical
NVOC,Non–Volatile Organic Chemical
NW,Nuclear Weapon
O,Oxygen
O3,Ozone
OA,Oleic Acid
OAA,OxaloAcetic Acid
OAc,Acetoxy functional group
OAM,Orbital Angular Momentum
OB,Oligosaccharide Binding
OC,Organic Carbon
OD,Optical Density
OD,Oxygen Demand
ODC,Ornithine DeCarboxylase
OER,Oxygen Enhancement Ratio
OF,Oxygen Free
OFC,Oxygen Free Copper
OFHC,Oxygen Free High thermal Conductivity
OH,alcohol
OH,hydroxide
OH,hydroxyl functional group
OI,Oxygen Index
OILRIG,"Oxygen Is Losing, Reduction Is Gaining"
OM,Organic Matter
ON,Oxidation Number
OP,Organophosphate
OQS,Occupied Quantum State
OR,Oxidation-Reduction
ORNL,Oak Ridge National Laboratory
ORP,Oxidation-Reduction Potential
ORR,Oxidation-Reduction Reaction
Os,Osmium
OSHA,Occupational Safety and Health Administration
OSL,Optically Stimulated Luminescence
OTA,OchraToxin A
OV,Organic Vapor
OVA,Organic Vapor Analyser
OVA,OVAlbumin
OWC,Oil-Water Contact
OX,"Oxidation, Oxygen"
OXA,OXanilic Acid
OXT,OXyTocin
OXY,Oxygen
p+,Proton
P,Peta prefix (1015)
P,Phosphorus
p,pico prefix (10-12)
P,"Pressure, Proton"
Pa,Pascal
PA,Phosphatidic Acid
Pa,Protactinium
PA,Proton Affinity
PAA,PolyAcrylic Acid
PABA,ParaAminoBenzoic Acid
PAC,"Pharmaceutically Active Compound, Polycyclic Aromatic Content, Powdered Activated Carbon"
PAEK,PolyArylEtherKetone
PAGE,PolyAcrylamide Gel Electrophoresis
PAH,Polycyclic Aromatic Hydrocarbon
PAI,PolyAmide Imide
PAO,PolyAlphaOlefin
PASA,"PolyAmide, Semi-Aromatic"
Pb,Lead
PB,PolyButylene
PBB,PolyBrominated Biphenyl
PBD,PolyButaDiene
PBI,PolyBenzImidazole
PBN,PolyButylene Naphthalate
PBS,Phosphate Buffered Saline
PBT,PolyButylene Terephthalate
PC,"PolyCarbonate, Pyruvate Carboxylase"
PCA,Pyrrolidone Carboxylic Acid
PCC,Pyridine Chloro Chromate
PCE,Tetrachloroethylene
PCR,Polymerase Chain Reaction
PCV,Pressure Control Valve
Pd,Palladium
PD,"Positive Displacement, Potential Difference"
PE,"PhycoErythrin, Polyethylene, Potential Energy"
PEA,PolyEster Amine
PEEK,PolyEtherEtherKetone
PEG,PolyEthylene Glycol
PEK,Poly Ether Ketone
PEL,Permissible Exposure Limit
PERC,Tetrachloroethylene
PES,PolyEtherSulfone
PET,PolyEthylene Terephthalate
PETP,PolyEthyleneTerePhthalate
PEX,Cross-linked PolyEthylene
PFC,Perfluorocarbon
pg,picogram
PG,Propylene Glycol
PG,Prostaglandin
PGA,3-PhosphoGlyceric Acid
PGA,PolyGlutamic Acid
PGE,Platinum Group Elements
PGM,Platinum Group Metals
pH,measurement of H+ ions in aqueous solution
PH,Phenol functional group
PHA,PolyHydroxyAlkanoate
PHB,PolyHydroxyButyrate
PHC,Petroleum HydroCarbon
PHMB,PolyHexaMethyleneBiguanide
PHT,PHThalate
PI,"Phosphate Ion, PolyImide"
PIB,PolyIsoButylene
pK,measurement of the dissociation constant
PLA,Polymerized Lactic Acid
PLC,PhosphoLipase-C
PM,"Particulate Matter, Photo Multiplier"
pm,picometer
PM,"Plasma Membrane, Powder Metallurgy"
Pm,Promethium
PM10,Particulates smaller than 10 μm.
PM3,Parameterized Model number 3
PMA,PhosphoMolybdic Acid
PMA,PolyMethyl Acrylate
PMID,PubMed IDentifier
PMMA,PolyMethylMethAcrylate
PMO,PolyMethylene Oxide
PNPA,PolyNucleotide Phosphorylase A
PNPB,PolyNucleotide Phosphorylase B
Po,Polonium
POC,Polar Organic Contaminant
pOH,measurement of OH- ions in aqueous solution
POL,"Petroleum, Oils, and Lubricants"
POP,Persistent Organic Pollutant
PORC,Porcelain
PPA,"PhenylPropanolAmine, PolyPhthalAmide"
ppb,Parts per billion
ppm,Parts per million
PPO,PolyPhenylene Oxide
PPS,PolyPhenylene Sulfide
PPT,"Parts Per Trillion, PolyPyrimidine Tract, Precipitate"
Pr,Praseodymium
PRV,Pressure Relief Valve
PSI,Pounds per Square Inch
PSV,Pressure Safety Valve
Pt,Platinum
PTFE,PolyTetraFluoroEthylene
Pu,Plutonium
PU,PolyUrethane
PV,"Parity Violation, Pressure Volume"
PVC,PolyVinyl Chloride
PVT,"Pressure, Volume, Temperature"
PXY,Para-XYlene
Q,Heat energy
QA,Quinolinic Acid
QC,Quality Control
QCD,Quantum ChromoDynamics
QED,"Quantum ElectroDynamics, Quod Erat Demonstradum (Latin for “which was to be demonstrated”)"
QM,Quantum Mechanics
QS,"Quantum State, Quantum Sufficit (Latin for “as much as needed”)"
qt,quart
QW,Quit Whining
QY,Quantum Yield
R,Arginine amino acid
R,Chiral center for R/S system
R,functional group or side chain of atoms variable
R,Ideal Gas Constant
R,Reactive
R,Redux
R,Resistance
R,Rydberg Constant
R,Röntgen unit
Ra,Radium
RA,Retinoic Acid
RACHEL,Remote Acess Chemical Hazards Electronic Library
rad,"Radiation, Absorbed Dose"
rad,radian
Rad,Radioactive
Rb,Rubidium
RBA,Rutherford Backscattering Analysis
RBD,"Refined, Bleached and Deodorized"
RCS,Reactive Chemical Species
RDA,Recommended Daily Allowance
RDT,Recombinant DNA Technology
RDX,"cyclotrimethylenetrinitramine, Research Department Explosive"
RE,Rare Earth
Re,Rhenium
REACH,"Registration, Evaluation, Authorization, and restriction of CHemical substances"
REE,Rare Earth Element
Ref,Reference
rem,"Radiation Equivalent, Man"
REM,Rare Earth Metal
REQ,Required
RER,Respiratory Exchange Ratio
RF,"Radio Frequency, Resonance Frequency"
Rf,Rutherfordium
RFIC,Reagent-Free Ion Chromatography
RFM,Relative Formula Mass
RG,Rare Gas
Rg,Roentgenium
RH,Relative Humidity
Rh,Rhodium
RH,Rydberg Constant for Hydrogen
RHE,Reversible Hydrogen Electrode
RHIC,Relativistic Heavy Ion Collider
RHS,Right Hand Side
RI,Radical Initiator
RIO,Red IronOxide
RL,Reaction Level
RMM,Relative Molar Mass
RMS,Root Mean Square
Rn,Radon
RNA,RiboNucleic Acid
RNS,Reactive Nitrogen Species
RO,Red Oxide
RO,Reverse Osmosis
ROHS,Restriction Of Hazardous Substances
ROS,Reactive Oxygen Species
ROWPU,Reverse Osmosis Water Purification Unit
RPT,Repeat
RSC,Royal Society of Chemistry
RT,"Energy (Rydberg Constant x Temperature), Reverse Transcriptase, Room Temperature"
RTM,Read The Manual
RTP,Room Temperature and Pressure
RTSC,Room Temperature Super Conductor
Ru,Ruthenium
S,Entropy
s,seconds
s,solid
s,spin quantum number
S,Sulfur
SA,Salicylic Acid
SA,Surface Area
SAC,S-Allyl Cysteine
SAC,Strong Acid Cation
sal,salt (Latin)
SAM,S-Adenosyl Methionine
SAM,Spin Angular Momentum
SAN,Styrene-AcryloNitrile
SAP,Super Absorbent Polymer
SAQ,Soluable AnthraQunone
SAS,Small Angle Scattering
SATP,Standard Ambient Temperature and Pressure
Sb,Antimony
SB,Solvent Based
SBA,Strong Base Anion
SBC,Styrene Butadiene Copolymer
SBR,Sequencing Batch Reactor
SBS,Styrene Butadiene Styrene
Sc,Scandium
SC,Silicon Carbide
SCBA,Specific Chemical and Biologic Agents
SCC,Stress Corrosion Cracking
Sci,Science
SCN,Thiocyanate
SCO,Super Charged Oxygen
SCS,Single Crystal Silicon
SCU,SCoville Units
SCVF,Single Chamber Vacuum Furnace
SCW,Super Critical Water
SCX,Strong Cation eXchanger
SDMS,Scientific Data Management System
SDV,Shut Down Valve
SDW,Spin Density Wave
SE,Sample Error
Se,Selenium
Sec,Seconds
SEP,Separate
SEU,Slightly Enriched Uranium
SF,"Safety Factor, Significant Figures"
SFC,Supercritical Fluid Chromatography
SFPM,Suspended Fine Particulate Matter
Sg,Seaborgium
