TERM,MEANING
FLPB,Foreign Language Proficiency Bonus
FLTCIP,Federal Longer Term Care Insurance Program
FMC,Food Machinery Corporation
FMF,Fleet Marine Force
FMR,Financial Management Regulation
FMS,Foreign Military Sale (US)
FMWG,Financial Management Working Group
FOB,Forward Operating Base
FOB,Forward Operating Base
FOC,Final Operating Capabilities
FOD,Foreign Object Damage
FOS,Forward Operating Site
FSA,Family Separation Allowance
FSSA,Family Subsistence Supplemental Allowance
FUBAR,Fouled' Up Beyond All Recognition
FV,Fighting Vehicle
GAM,GPS-Aided Munition
GAO,U.S. Government Accountability Office
GATES,Global Air Transportation Execution System
GCI,Ground-Controlled Intercept
GCT,Grande Cadence de Tir (France)
GE,General Electric
GIB,GI Bill
GMI,General Military Intelligence
GP,General Purpose
GPMG,General Purpose Machine Gun
GPMRC,Global Patient Movement Requirements Center
GPS,Global Positioning System
GSSAP,Geosynchronous Space Situational Awareness Program
HCBS,Home and Community-Based Services
HCSDB,Health Care Survey of DoD Beneficiaries
HD,Homeland Defense
HDP-L,Hardship Duty Pay Locations
HE,High Explosive
HEAP,High Explosive, Anti-Personnel
HEAT,High Explosive, Anti-Tank
HEAT-FS,High Explosive, Anti-Tank - Fin Stabilized
HEC,Health Executive Committee
HEDIS,Healthcare Effectiveness Data and Information Set
HE-FRAG,High Explosive-Fragmentation
HEI,High Explosive Incendiary
HEMAT,Heavy Expanded Mobility Ammunition Trailer
HEP,High Explosive Plastic
HESH,High Explosive Squash Head
HE-T,High Explosive - Tracer
HIMARS,High Mobility Artillery Rocket System
HMG,Heavy Machine u Gun
HMO,Health Maintenance Organization
HOB,Height of Burst
HOC,Humanitarian Operations Center
HOTAS,Hands-On-Throttle-and-Stick
HOTCC,Hands on Throttle, Collective and Cyclic
HPT,High-Payoff Target
HQ,Headquarter(s)
HR,Hostage Rescue
HRP,High-Risk personnel
HS,Homeland Security
HUD,Head Up Display
HUDWAC,Head Up Display Weapon Aiming Computer
HUDWASS,Head Up Display Weapon Aiming SubSystem
HUMINT,Human Intelligence
HVAP,High Velocity Armor Piercing
HVM,High Velocity Missile
HVT,High-Value Target
IADS,Integrated Air Defense System
IAMD,Integrated Air and Missile Defense
IC3,Interagency Care Coordination Committee
ICBM,InterContinental Ballistic Missile
IDA,Institute for Defense Analyses
IED,Improvised Explosive Device
iEHR,Integrated Electronic Health Record
IFF,Identification Friend or Foe
IFV,Infantry Fighting Vehicle
IGE,In Ground Effect
IIR,Intelligence Information report
INS,Inertial Navigation System
INTELSAT,International Telecommunications Satellite Organization
IOC,Initial Operating Capabilities
IOC,Initial Operational Capability
IPO,Interagency Program Office
IR,InfraRed
IRAN,Inspect and Repair as Necessary
IRBM,Intermediate Range Ballistic Missile
IRBM,Intermediate-Range Ballistic Missile
IRCM,Infra-Red CounterMeasure
IRR,Individual Ready Reserve
IRS,Inertial Reference System
IRST,Infra-Red Search-and-Track
ISOPREP,Isolated Personnel Report
ISW,Institute for the Study of War
IT,Information Technology
JA,Judge Advocate
JAAT,Joint Air Attack Team
JAG,Judge Advocate General
JAGIC,Joint Air-Ground Integration Center
JAOC,Joint Air Operations Center
JAOP,Joint Air Operations Plan
JASDF,Japan Air Self Defense Force
JAST,Joint Advanced Strike Technology
JCN,Joint Communications Network
JDAM,Joint Direct Attack Munition
JEC,Joint Executive Committee
JEZ,Joint Engagement Zone
JFCH,Joint Force Chaplain
JFO,Joint Field Office
JIF,Joint Incentive Fund
JIOC,Joint Intelligence Operations Center
JIOO,Joint Interrogation Operations
JLOC,Joint Logistics Operations Center
JMROC,Joint Medical Readiness Oversight Council
JOA,Joint Operations Area
JOC,Joint Operations Center
Joint-STARS,Joint Surveillance Target Attack Radar System
JRC,Joint Readiness Command
JS,Joint Staff
JSC,Joint Chiefs of Staff
JSF,Joint Strike Fighter
JSOW,Joint Stand-Off Weapon
JSP,Joint Strategic Plan
JTB,Joint Transportation Board
JTF,Joint Task Force
JTIDS,Joint Tactical Information Distribution System
JVSG,Jobs for Veterans State Grant
LA,Lead Agent
LABS,Low Altitude Bombing System
LAD,Latest Arrival Date
LAD,Launch Area Denied
LAMPS,Light Airborne MultiPurpose System
LANTIRN,Low Altitude Targeting InfraRed for Night
LAPES,Low Altitude Parachute Extraction System
LARS,Light Artillery Rocket System
LAV,Light Armored Vehicle
LAV,Light Assault Vehicle
LCD,Liquid Crystal Display
LCS,Littoral Combat Ship
LEA,Law Enforcement Agency
LES,Leave and Earnings Statement
LF,Low Frequency (30 to 300 kHz)
LGB,Laser-Guided Bomb
LGW,Laser-Guided Weapon
LLLTV,Low Light Level Television
LMG,Light Machine Gun
LMI,Logistics Management Institute
LO,Low Observables
LOA,Letter of Authorization
LOA,Letter of Offer and Acceptance
LOC,Line of Communications
LOR,Launch on Remote
LPT,Low Profile Turret
LRMP,Long Range Maritime Patrol Aircraft
LT,Lieutenant
LT,Light Tank
LVER,Local Veterans’ Employment Representative
LVTP,Landing Vehicle Tracked Personnel
LZ,Landing Zone
LZ,Landing Zone
MAAP,Master Air Attack Plan
MAC,Military Airlift Command
MACH,Measure of Airspeed (Mach 1 = 1,223 kph/760 mph at sea level)
MAD,Magnetic Anomaly Detector
MADIS,Marine Air Defense Integrated System
MAJ,Major
MAP,Medical Advisory Panel
MAP,Military Assistance Program
MARAD RRF,Maritime Administration Ready Reserve Force
MAW,Marine Air Wing (USMC)
MAXORD,Maximum Ordinate
MBT,Main Battle Tank
MCCS,Marine Corps Community Services
MCM,Mine Countermeasures
MCRMC,Military Compensation and Retirement Modernization Commission
MCSC,Managed Care Support Contract
MCX,Marine Corps Exchange
MD,Missile Defense
MDA,Muster Duty Allowance
MEPS,Military Entrance Processing Station
MERHCF,Medicare-Eligible Retiree Health Care Fund
MEZ,Missile Engagement Zone
MFD,Multi-Function Display
MG,Machine Gun
MGIB,Montgomery GI Bill
MGIB-AD,Montgomery GI Bill Active Duty
MGIB-SR,Montgomery GI Bill Selected Reserve
MHA,Military Housing Allowance
MHA,Military Housing Area
MHS,Military Health System
MIA,Missing in Action
MIB,Military Intelligence Board
MIDB,Modernized Integrated Database
MILCON,Military Construction
MILDEC,military deception
MILDEP,Military Department
MILPERS,Military Personnel
MILSPEC,Military Specification
MILSTAMP,Military Standard Transportation and Movement Procedures
MILSTRIP,Military Standard Requisitioning and Issue Procedure
MILTECH,Military technician
MIW,Mine Warfare
MLA,Military Lending Act
MLRS,Multiple Launch Rocket System
MLU,Mid-Life Update
MMG,Medium Machine Gun
MNF,Multinational Force
MOB,Main Operating Base
MOC,Media Operations Center
MOLLE or M.O.L.L.E.,MOdular Lightweight Load-carrying Equipment
MOS,Military Occupational Specialty
MP,Machine Pistol
MPA,Maritime Patrol Aircraft
MPC,Multi-Purpose Carrier
MPO,Military Post Office
MPS,Military Postal Service
MPSA,Military Postal Service Agency
MR,Maritime Reconnaissance
MRAV,Multi-Role Armored Vehicle
MRBM,Medium-Range Ballistic Missile
MRF,Military Retirement F
MRR,Minimum-Risk Route
MSAS,Mobility Support Advisory Squadron
MSC,Military Sealift Command
MSF,Mobile Security Force
MSG,Master Sergeant
MSIP,Multi-Stage Improvement Program
MSP,Maritime Security Program
MSR,Main Supply Route
MSRRA,Military Spouse Residency Relief Act
MTF,Medical Treatment Facility
MWR,Morale, Welfare & Recreation
MyCAA,Military Spouse Career Advancement Accounts
NAF,Nonappropriated Funds
NAI,Named Area of Interest
NAS,Naval Air Station
NATO,North Atlantic Treaty Organization
NAVSOF,Navy Special Operations Forces
NBC,Nuclear, Biological and Chemical
NBI,Nonbattle Injury
NCO,Non-Commissioned Officer
NCP,Normal Cost Payments
NCR,National Capital Region
NCS,National Communications System
NDAA,National Defense Authorization Act
NDMS,National Disaster Medical System
NDRC,National Detainee Reporting Center
NDRF,National Defense Reserve Fleet
NEX,Navy Exchange
NEXCOM,Navy Exchange Command
NEXMART,Navy Exchange Market
NFA,No-Fire Area
NFL,No-Fire Line
NFLS,Naval Forward Logistic Site
NGFS,Naval Gunfire Support
NIMS,National Incident Management System
NLW,Nonlethal Weapon
NMCS,National Military Command System
NMCS,Not Mission Capable, Supply
NMS,National Military Strategy
NOC,National Operations Center
NOE,Nap of the Earth
NORAD,North American Aerospace Defense Command (formerly North American Air Defense Command)
NSC,National Security Council
NSFS,Naval Surface Fire Support
NSL,No-Strike List
NSW,Naval Special Warfare
NVD,Night Vision Device
O,Officer
O&M,Operation and Maintenance
O&M,Operations and Maintenance
OA,Objective Area
OACT,Office of the Actuary (DoD)
OC,Operations Center
OCA,Offensive Counterair
OCO,Offensive Cyberspace Operations
OCONUS,Outside the Continental U.S.
OCS,Officer Candidate School
OCU,Operational Conversion Unit
OEF,Operation ENDURING FREEDOM
OFCO,Offensive Counterintelligence Operation
OGE,Out of Ground Effect
OHA,Overseas Housing Allowance
OIF,Operation IRAQI FREEDOM
OOD,Officer of the Deck
OOP,Out-of-Pocket
OPCON,Operational Control
OPLAN,Operation Plan
OPM,U.S. Office of Personnel Management
OPORD,Operation Order
OPSEC,Operational Security
OPSEC,Operations Security
OSA,Operational Support Airlift
OSC,On-Scene Commander
OSINT,Open-Source Intelligence
OTC,Officer in Tactical Command
OTH,Over-the-Horizon
OTH-B,Over-The-Horizon Backscatter radar
OTHR,Over-The-Horizon Radar
OTHT,Over-The-Horizon Targeting
PACAF,Pacific Air Force (USAF)
PAR,Population at Risk
PB,Peace Building
PCM,Primary Care Manager
PCS,Permanent Change of Station
PD,Probability of Damage
PDRL,Permanently Disabled Retired List
PEGASUS,Persistent German Airborne Surveillance System
PFC,Private First Class
PFM,Personal Financial Management
PFT,Physical Fitness Test
PGM,Precision-Guided Munition
PGM,Precision-Guided Munition
PID,Passive IDentification
PID,Positive Identification
PII,Personally Identifiable Identification
PL,Phase Line
PLANORD,Planning Order
PLB,Personal Locator Beacon
PM,Peacemaking
PNGDF,Papua New Guinea Defense Force
PO,Peace Operations
POC,Point of Contact
POC,Privately Owned Conveyance
POD,Port of Debarkation
POE,Port of Embarkation
POW,Prisoner of War
PPBE,Planning, Programming, Budget, and Execution
PPE,personal Protective Equipment
PPM,Personally Procured Move
PPO,Preferred Provider Organization
PR,Personnel Recovery
PRC,Presidential Reserve Call-Up
PSAS,Prosthetic and Sensory Aids Service
PT,Physical Training
PTC,Pharmacy and Therapeutics Committee
PTDO,Prepare to Deploy Order
PTG,Poseur de Travures du Genie (France)
PTSD,Post-Traumatic Stress Disorder
PTTI,Precise Time and Time Interval
PUK,Packup Kit
PV,Perceived Value
PVT,Private
PX,Post Exchange
R&D,Research & Development
R&R,Rest and Recuperation
RA,Risk Assessment
RAAWS,Radar Altimeter and Altitude Warning System
RAM,"Radar Absorbing Material, Rolling Airframe Missile"
RAST,Recovery Assist, Secure and Traverse system
RATO,Rocket-Assisted Take-Off
RC,Reserve Component
RCC,Rescue Coordination Center
RCS,Radar Cross-Section
RDD,Radiological Dispersal Device
REAP,Reserve Education Assistance Program
Recce,Reconnaissance
RED,Radiological Exposure Device
RESCAP,Rescue Combat Air Patrol
RFA,Restrictive Fire Area
RFI,Request for Information
RFL,Restrictive Fire Line
RHPO,Regional Health Planning Organization
RI,Relative Importance
RISE,Reliability Improved Selected Equipment
RM,Risk Management
RMG,Ranging Machine Gun
ROE,Rules of Engagement
ROE,Rules of Engagement
ROZ,Restricted Operations Zone
RP,Rocket Propelled
RPG,Rocket Propelled Grenade
RPV,Remotely-Piloted Vehicle
RR,Reattack Recommendation
RRCC,Regional Response Coordination Center
RSA,Resource Sharing Agreement
RSO,Regional Security Officer
RT,Recovery Team
RTB,Return to Base
RVU,Relative Value Unit
RWR,Radar Warning Receiver
SA,Surface-to-Air
SAC,School-Age Care
SAC,Strategic Air Command
SAFE kit,Sexual Assault Forensic Examination Kit
SAM,Surface-to-Air Missile
SAP,Special Access Program
SAR,Search and Rescue
SAS,Special Air Service
SBA,Small Business Administration
SBP,Survivor Benefit Plan
SCAR,Strike Coordination and Reconnaissance
SCRA,Servicemembers Civil Relief Act
SDT,Second Destination Transportation
SEAD,Suppression of Enemy Air Defenses
SEALs,SEA, Air and Land (USN)
SENSO,SENSor Operator
SEP,Systems Enhancement Package
SFG,Special Forces Group
SGLI,Servicemembers’ Group Life Insurance
SGT,Sergeant
SHORADEZ,Short-Range Air Defense Engagement Zone
Sigint,SIGnals INTelligence
SIPRNET,SECRET Internet Protocol Router Network
SITREP,Situation Report
SJA,Staff Judge Advocate
SLAP,Saboted Light Armor Penetrator
SLAR,Side-Looking Airborne Radar
SLEP,Service Life Extension Program
SLS,Shoot-Look-Shoot
SMC,Specialized Military Condition
SMG,SubMachine Gun
SMU,Special Mission Unit
SNAFU,"Situation Normal, All 'Fouled' Up"
SNAP,Supplemental Nutrition Assistance Program
SOCOM,Special Operations Command
SOF,Special Operations Forces
SOLRS,Special Operations Logistics Readiness Squadron
SOP,Standard Operating Procedure
SOTF,Special Operations Task Force
SOUTHAF,Southern Command Air Forces
SP,Self-Propelled
SP,Specialist (when referred in a soldiers rank)
SPAAG,Self-Propelled Anti-Aircraft Gun
SPAWAR,The Space and Naval Warfare Systems Command
SPG,Self-Propelled Gun
SPOTREP,Spot Report
SR,Special Reconnaissance
SRAM,Short Range Attack Missile
SRBM,Short-Range Ballistic Missile
SRUF,Standing Rules For the Use of Force
SSM,Surface-to-Surface Missile
STC,Shock Trauma Center
SUW,Surface Warfare
TA,Tuition Assistance
TA,Target Audience
TA,Threat Assessment
TAC,Tactical Air Command
TACAMO,TAke Charge And Move Out
TACAN,TACtical Aid to Navigation
TACCO,TACtical COordinator
TACON,Tactical Control
TAI,Target Area of Interest
TAMP,Transition Assistance Management Program
TANS,Tactical Air Navigation System
TBO,Time Between Overhauls
TBD,Torpedo Boat Destroyer
TBT,Tank Bridge Transporter
TCCC,Tactical Combat Casualty Care
TCF,Tactical Combat Force
TDY,Temporary Duty Station
TECHINT,Technical Intelligence
TENCAP,Tactical Exploitation of National Capabilities
TF,Task Force
TFI,Total Family Income
TFR,Terrain Following Radar
TG,Task Group
TIALD,Target Identification Airborne Laser Designation
TIC,Target Information Center
TMA TRICARE,Management Activity
TO,Theater of Operations
TOA,Table of Allowance
TOF,Time of Flight
TOT,Time on Target
TOW,Tube-launched, Optically-tracked, Wire-Guided
TQ,Tactical Questioning
TRANSCOM,Transportation Command
TRANSEC,Transmission Security
TRAP,Tactical Recovery of Aircraft and Personnel
TRICARE,Military Health Care Program
TRP,Target Reference Point
TRV,Tank Recovery Vehicle
TSOC,Theater Special Operations Command
TSP,Thrift Savings Plan
TSSAM,Tri-Service Stand-off Attack Missile
TTT,Time to Target
TU,Task Unit
UCMJ,Uniform Code of Military Justice
UCP,Unified Command Plan
UCX,Unemployment Compensation for Ex-Servicemembers
UDT,Underwater Demolition Team
UETF,Unified Exchange Task Force
UIC,Unit Identification Code
UJTL,Universal Joint Task List
ULN,Unit Line Number
USAAC,United States Army Air Corps
USAAF,United States Army Air Forces
USAFE,United States Air Force in Europe
USCG,United States Coast Guard
USDA,U.S. Department of Agriculture
USERRA,Uniformed Services Employment and Reemployment Rights Act
USFHP,U.S. Family Health Plan
USMC,United States Marine Corps
USMTF,United States Message Text Format
USN,United States Navy
USNS,United States Naval Ship
USW,Undersea Warfare
USSF,"United States Space Force, the space service branch of the United States Armed Forces"
UTC,Unit Type Code
UXO,Unexploded Explosive Ordnance
V/STOL,Vertical or Short Take-Off and Landing
VA,U.S. Department of Veterans Affairs
VA,Vulnerability Assessment
VANF,VA National Formulary
VBIED,Vehicle-Borne Improvised Explosive Device
VDU,Visual Display Unit
VHA,Veterans Health Administration
VI,visual information
VISA,Voluntary Intermodal Sealift Agreement
VISN,Veterans Integrated Service Network
VistA,Veterans Health Information Systems and Technology Architecture
VSEL,Vickers Shipbuilding and Engineering LTD
VSO,Veterans Service Organization
VSTOL,Vertical Short Take-Off and Landing
VTAS,"Voice, Throttle and Stick"
WARM,Wartime Reserve Modes
WARNORD,Warning Order
WEZ,Weapon Engagement Zone
WG,Working Group
WIC,"Women, Infants and Children"
WLG,Washington Liaison Group
WMD,Weapons of Mass Destruction
WO,Warrant Officer
WSO,Weapon System Operator (or Weapon System Officer)
XO,Executive Officer
YOS,Years of Service
ZF,Zone of Fire
