ErrorString,ExitCode,Hex Value,Description,
ERROR_ADAP_HDW_ERR,57,0x39,A network adapter hardware error occurred.,
ERROR_BAD_NET_RESP,58,0x3A,The specified server cannot perform the requested operation.,
ERROR_UNEXP_NET_ERR,59,0x3B,An unexpected network error occurred.,
ERROR_BAD_REM_ADAP,60,0x3C,The remote adapter is not compatible.,
ERROR_PRINTQ_FULL,61,0x3D,The printer queue is full.,
ERROR_NO_SPOOL_SPACE,62,0x3E,Space to store the file waiting to be printed is not available on the server.,
ERROR_PRINT_CANCELLED,63,0x3F,Your file waiting to be printed was deleted.,
ERROR_NETNAME_DELETED,64,0x40,The specified network name is no longer available.,
ERROR_NETWORK_ACCESS_DENIED,65,0x41,Network access is denied.,
ERROR_BAD_DEV_TYPE,66,0x42,The network resource type is not correct.,
ERROR_BAD_NET_NAME,67,0x43,The network name cannot be found.,
ERROR_TOO_MANY_NAMES,68,0x44,The name limit for the local computer network adapter card was exceeded.,
ERROR_TOO_MANY_SESS,69,0x45,The network BIOS session limit was exceeded.,
ERROR_SHARING_PAUSED,70,0x46,The remote server has been paused or is in the process of being started.,
ERROR_REQ_NOT_ACCEP,71,0x47,No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept.,
ERROR_REDIR_PAUSED,72,0x48,The specified printer or disk device has been paused.,
ERROR_FILE_EXISTS,80,0x50,The file exists.,
ERROR_CANNOT_MAKE,82,0x52,The directory or file cannot be created.,
ERROR_FAIL_I24,83,0x53,Fail on INT 24.,
ERROR_OUT_OF_STRUCTURES,84,0x54,Storage to process this request is not available.,
ERROR_ALREADY_ASSIGNED,85,0x55,The local device name is already in use.,
ERROR_INVALID_PASSWORD,86,0x56,The specified network password is not correct.,
ERROR_INVALID_PARAMETER,87,0x57,The parameter is incorrect.,
ERROR_NET_WRITE_FAULT,88,0x58,A write fault occurred on the network.,
ERROR_NO_PROC_SLOTS,89,0x59,The system cannot start another process at this time.,
ERROR_TOO_MANY_SEMAPHORES,100,0x64,Cannot create another system semaphore.,
ERROR_EXCL_SEM_ALREADY_OWNED,101,0x65,The exclusive semaphore is owned by another process.,
ERROR_SEM_IS_SET,102,0x66,The semaphore is set and cannot be closed.,
ERROR_TOO_MANY_SEM_REQUESTS,103,0x67,The semaphore cannot be set again.,
ERROR_INVALID_AT_INTERRUPT_TIME,104,0x68,Cannot request exclusive semaphores at interrupt time.,
ERROR_SEM_OWNER_DIED,105,0x69,The previous ownership of this semaphore has ended.,
ERROR_SEM_USER_LIMIT,106,0x6A,Insert the diskette for drive %1.,
ERROR_DISK_CHANGE,107,0x6B,The program stopped because an alternate diskette was not inserted.,
ERROR_DRIVE_LOCKED,108,0x6C,The disk is in use or locked by another process.,
ERROR_BROKEN_PIPE,109,0x6D,The pipe has been ended.,
ERROR_OPEN_FAILED,110,0x6E,The system cannot open the device or file specified.,
ERROR_BUFFER_OVERFLOW,111,0x6F,The file name is too long.,
ERROR_DISK_FULL,112,0x70,There is not enough space on the disk.,
ERROR_NO_MORE_SEARCH_HANDLES,113,0x71,No more internal file identifiers available.,
ERROR_INVALID_TARGET_HANDLE,114,0x72,The target internal file identifier is incorrect.,
ERROR_INVALID_CATEGORY,117,0x75,The IOCTL call made by the application program is not correct.,
ERROR_INVALID_VERIFY_SWITCH,118,0x76,The verify-on-write switch parameter value is not correct.,
ERROR_BAD_DRIVER_LEVEL,119,0x77,The system does not support the command requested.,
ERROR_CALL_NOT_IMPLEMENTED,120,0x78,This function is not supported on this system.,
ERROR_SEM_TIMEOUT,121,0x79,The semaphore timeout period has expired.,
ERROR_INSUFFICIENT_BUFFER,122,0x7A,The data area passed to a system call is too small.,
ERROR_INVALID_NAME,123,0x7B,"The filename, directory name, or volume label syntax is incorrect.",
ERROR_INVALID_LEVEL,124,0x7C,The system call level is not correct.,
ERROR_NO_VOLUME_LABEL,125,0x7D,The disk has no volume label.,
ERROR_MOD_NOT_FOUND,126,0x7E,The specified module could not be found.,
ERROR_PROC_NOT_FOUND,127,0x7F,The specified procedure could not be found.,
ERROR_WAIT_NO_CHILDREN,128,0x80,There are no child processes to wait for.,
ERROR_CHILD_NOT_COMPLETE,129,0x81,The %1 application cannot be run in Win32 mode.,
ERROR_DIRECT_ACCESS_HANDLE,130,0x82,Attempt to use a file handle to an open disk partition for an operation other than raw disk I/O.,
ERROR_NEGATIVE_SEEK,131,0x83,An attempt was made to move the file pointer before the beginning of the file.,
ERROR_SEEK_ON_DEVICE,132,0x84,The file pointer cannot be set on the specified device or file.,
ERROR_IS_JOIN_TARGET,133,0x85,A JOIN or SUBST command cannot be used for a drive that contains previously joined drives.,
ERROR_IS_JOINED,134,0x86,An attempt was made to use a JOIN or SUBST command on a drive that has already been joined.,
ERROR_IS_SUBSTED,135,0x87,An attempt was made to use a JOIN or SUBST command on a drive that has already been substituted.,
ERROR_NOT_JOINED,136,0x88,The system tried to delete the JOIN of a drive that is not joined.,
ERROR_NOT_SUBSTED,137,0x89,The system tried to delete the substitution of a drive that is not substituted.,
ERROR_JOIN_TO_JOIN,138,0x8A,The system tried to join a drive to a directory on a joined drive.,
ERROR_SUBST_TO_SUBST,139,0x8B,The system tried to substitute a drive to a directory on a substituted drive.,
ERROR_JOIN_TO_SUBST,140,0x8C,The system tried to join a drive to a directory on a substituted drive.,
ERROR_SUBST_TO_JOIN,141,0x8D,The system tried to SUBST a drive to a directory on a joined drive.,
ERROR_BUSY_DRIVE,142,0x8E,The system cannot perform a JOIN or SUBST at this time.,
ERROR_SAME_DRIVE,143,0x8F,The system cannot join or substitute a drive to or for a directory on the same drive.,
ERROR_DIR_NOT_ROOT,144,0x90,The directory is not a subdirectory of the root directory.,
ERROR_DIR_NOT_EMPTY,145,0x91,The directory is not empty.,
ERROR_IS_SUBST_PATH,146,0x92,The path specified is being used in a substitute.,
ERROR_IS_JOIN_PATH,147,0x93,Not enough resources are available to process this command.,
ERROR_PATH_BUSY,148,0x94,The path specified cannot be used at this time.,
ERROR_IS_SUBST_TARGET,149,0x95,An attempt was made to join or substitute a drive for which a directory on the drive is the target of a previous substitute.,
ERROR_SYSTEM_TRACE,150,0x96,"System trace information was not specified in your CONFIG.SYS file, or tracing is disallowed.",
ERROR_INVALID_EVENT_COUNT,151,0x97,The number of specified semaphore events for DosMuxSemWait is not correct.,
ERROR_TOO_MANY_MUXWAITERS,152,0x98,DosMuxSemWait did not execute; too many semaphores are already set.,
ERROR_INVALID_LIST_FORMAT,153,0x99,The DosMuxSemWait list is not correct.,
ERROR_LABEL_TOO_LONG,154,0x9A,The volume label you entered exceeds the label character limit of the target file system.,
ERROR_TOO_MANY_TCBS,155,0x9B,Cannot create another thread.,
ERROR_SIGNAL_REFUSED,156,0x9C,The recipient process has refused the signal.,
ERROR_DISCARDED,157,0x9D,The segment is already discarded and cannot be locked.,
ERROR_NOT_LOCKED,158,0x9E,The segment is already unlocked.,
ERROR_BAD_THREADID_ADDR,159,0x9F,The address for the thread ID is not correct.,
ERROR_BAD_ARGUMENTS,160,0xA0,One or more arguments are not correct.,
ERROR_BAD_PATHNAME,161,0xA1,The specified path is invalid.,
ERROR_SIGNAL_PENDING,162,0xA2,A signal is already pending.,
ERROR_MAX_THRDS_REACHED,164,0xA4,No more threads can be created in the system.,
ERROR_LOCK_FAILED,167,0xA7,Unable to lock a region of a file.,
ERROR_BUSY,170,0xAA,The requested resource is in use.,
ERROR_DEVICE_SUPPORT_IN_PROGRESS,171,0xAB,Device's command support detection is in progress.,
ERROR_CANCEL_VIOLATION,173,0xAD,A lock request was not outstanding for the supplied cancel region.,
ERROR_ATOMIC_LOCKS_NOT_SUPPORTED,174,0xAE,The file system does not support atomic changes to the lock type.,
ERROR_INVALID_SEGMENT_NUMBER,180,0xB4,The system detected a segment number that was not correct.,
ERROR_INVALID_ORDINAL,182,0xB6,The operating system cannot run %1.,
ERROR_ALREADY_EXISTS,183,0xB7,Cannot create a file when that file already exists.,
ERROR_INVALID_FLAG_NUMBER,186,0xBA,The flag passed is not correct.,
ERROR_SEM_NOT_FOUND,187,0xBB,The specified system semaphore name was not found.,
ERROR_INVALID_STARTING_CODESEG,188,0xBC,The operating system cannot run %1.,
ERROR_INVALID_STACKSEG,189,0xBD,The operating system cannot run %1.,
ERROR_INVALID_MODULETYPE,190,0xBE,The operating system cannot run %1.,
ERROR_INVALID_EXE_SIGNATURE,191,0xBF,Cannot run %1 in Win32 mode.,
ERROR_EXE_MARKED_INVALID,192,0xC0,The operating system cannot run %1.,
ERROR_BAD_EXE_FORMAT,193,0xC1,%1 is not a valid Win32 application.,
ERROR_ITERATED_DATA_EXCEEDS_64k,194,0xC2,The operating system cannot run %1.,
ERROR_INVALID_MINALLOCSIZE,195,0xC3,The operating system cannot run %1.,
ERROR_DYNLINK_FROM_INVALID_RING,196,0xC4,The operating system cannot run this application program.,
ERROR_IOPL_NOT_ENABLED,197,0xC5,The operating system is not presently configured to run this application.,
ERROR_INVALID_SEGDPL,198,0xC6,The operating system cannot run %1.,
ERROR_AUTODATASEG_EXCEEDS_64k,199,0xC7,The operating system cannot run this application program.,
ERROR_RING2SEG_MUST_BE_MOVABLE,200,0xC8,The code segment cannot be greater than or equal to 64K.,
ERROR_RELOC_CHAIN_XEEDS_SEGLIM,201,0xC9,The operating system cannot run %1.,
ERROR_INFLOOP_IN_RELOC_CHAIN,202,0xCA,The operating system cannot run %1.,
ERROR_ENVVAR_NOT_FOUND,203,0xCB,The system could not find the environment option that was entered.,
ERROR_NO_SIGNAL_SENT,205,0xCD,No process in the command subtree has a signal handler.,
ERROR_FILENAME_EXCED_RANGE,206,0xCE,The filename or extension is too long.,
ERROR_RING2_STACK_IN_USE,207,0xCF,The ring 2 stack is in use.,
ERROR_META_EXPANSION_TOO_LONG,208,0xD0,"The global filename characters, * or ?, are entered incorrectly or too many global filename characters are specified.",
ERROR_INVALID_SIGNAL_NUMBER,209,0xD1,The signal being posted is not correct.,
ERROR_THREAD_1_INACTIVE,210,0xD2,The signal handler cannot be set.,
ERROR_LOCKED,212,0xD4,The segment is locked and cannot be reallocated.,
ERROR_TOO_MANY_MODULES,214,0xD6,Too many dynamic-link modules are attached to this program or dynamic-link module.,
ERROR_NESTING_NOT_ALLOWED,215,0xD7,Cannot nest calls to LoadModule.,
ERROR_EXE_MACHINE_TYPE_MISMATCH,216,0xD8,This version of %1 is not compatible with the version of Windows you're running. Check your computer's system information and then contact the software publisher.,
ERROR_EXE_CANNOT_MODIFY_SIGNED_BINARY,217,0xD9,"The image file %1 is signed, unable to modify.",
ERROR_EXE_CANNOT_MODIFY_STRONG_SIGNED_BINARY,218,0xDA,"The image file %1 is strong signed, unable to modify.",
ERROR_FILE_CHECKED_OUT,220,0xDC,This file is checked out or locked for editing by another user.,
ERROR_CHECKOUT_REQUIRED,221,0xDD,The file must be checked out before saving changes.,
ERROR_BAD_FILE_TYPE,222,0xDE,The file type being saved or retrieved has been blocked.,
ERROR_FILE_TOO_LARGE,223,0xDF,The file size exceeds the limit allowed and cannot be saved.,
ERROR_FORMS_AUTH_REQUIRED,224,0xE0,"Access Denied. Before opening files in this location, you must first add the web site to your trusted sites list, browse to the web site, and select the option to login automatically.",
ERROR_VIRUS_INFECTED,225,0xE1,Operation did not complete successfully because the file contains a virus or potentially unwanted software.,
ERROR_VIRUS_DELETED,226,0xE2,"This file contains a virus or potentially unwanted software and cannot be opened. Due to the nature of this virus or potentially unwanted software, the file has been removed from this location.",
ERROR_PIPE_LOCAL,229,0xE5,The pipe is local.,
ERROR_BAD_PIPE,230,0xE6,The pipe state is invalid.,
ERROR_PIPE_BUSY,231,0xE7,All pipe instances are busy.,
ERROR_NO_DATA,232,0xE8,The pipe is being closed.,
ERROR_PIPE_NOT_CONNECTED,233,0xE9,No process is on the other end of the pipe.,
ERROR_MORE_DATA,234,0xEA,More data is available.,
ERROR_VC_DISCONNECTED,240,0xF0,The session was canceled.,
ERROR_INVALID_EA_NAME,254,0xFE,The specified extended attribute name was invalid.,
ERROR_EA_LIST_INCONSISTENT,255,0xFF,The extended attributes are inconsistent.,
WAIT_TIMEOUT,258,0x102,The wait operation timed out.,
ERROR_NO_MORE_ITEMS,259,0x103,No more data is available.,
ERROR_CANNOT_COPY,266,0x10A,The copy functions cannot be used.,
ERROR_DIRECTORY,267,0x10B,The directory name is invalid.,
ERROR_EAS_DIDNT_FIT,275,0x113,The extended attributes did not fit in the buffer.,
ERROR_EA_FILE_CORRUPT,276,0x114,The extended attribute file on the mounted file system is corrupt.,
ERROR_EA_TABLE_FULL,277,0x115,The extended attribute table file is full.,
ERROR_INVALID_EA_HANDLE,278,0x116,The specified extended attribute handle is invalid.,
ERROR_EAS_NOT_SUPPORTED,282,0x11A,The mounted file system does not support extended attributes.,
ERROR_NOT_OWNER,288,0x120,Attempt to release mutex not owned by caller.,
ERROR_TOO_MANY_POSTS,298,0x12A,Too many posts were made to a semaphore.,
ERROR_PARTIAL_COPY,299,0x12B,Only part of a ReadProcessMemory or WriteProcessMemory request was completed.,
ERROR_OPLOCK_NOT_GRANTED,300,0x12C,The oplock request is denied.,
ERROR_INVALID_OPLOCK_PROTOCOL,301,0x12D,An invalid oplock acknowledgment was received by the system.,
ERROR_DISK_TOO_FRAGMENTED,302,0x12E,The volume is too fragmented to complete this operation.,
ERROR_DELETE_PENDING,303,0x12F,The file cannot be opened because it is in the process of being deleted.,
ERROR_INCOMPATIBLE_WITH_GLOBAL_SHORT_NAME_REGISTRY_SETTING,304,0x130,Short name settings may not be changed on this volume due to the global registry setting.,
ERROR_SHORT_NAMES_NOT_ENABLED_ON_VOLUME,305,0x131,Short names are not enabled on this volume.,
ERROR_SECURITY_STREAM_IS_INCONSISTENT,306,0x132,The security stream for the given volume is in an inconsistent state. Please run CHKDSK on the volume.,
ERROR_INVALID_LOCK_RANGE,307,0x133,A requested file lock operation cannot be processed due to an invalid byte range.,
ERROR_IMAGE_SUBSYSTEM_NOT_PRESENT,308,0x134,The subsystem needed to support the image type is not present.,
ERROR_NOTIFICATION_GUID_ALREADY_DEFINED,309,0x135,The specified file already has a notification GUID associated with it.,
ERROR_INVALID_EXCEPTION_HANDLER,310,0x136,An invalid exception handler routine has been detected.,
ERROR_DUPLICATE_PRIVILEGES,311,0x137,Duplicate privileges were specified for the token.,
ERROR_NO_RANGES_PROCESSED,312,0x138,No ranges for the specified operation were able to be processed.,
ERROR_NOT_ALLOWED_ON_SYSTEM_FILE,313,0x139,Operation is not allowed on a file system internal file.,
ERROR_DISK_RESOURCES_EXHAUSTED,314,0x13A,The physical resources of this disk have been exhausted.,
ERROR_INVALID_TOKEN,315,0x13B,The token representing the data is invalid.,
ERROR_DEVICE_FEATURE_NOT_SUPPORTED,316,0x13C,The device does not support the command feature.,
ERROR_MR_MID_NOT_FOUND,317,0x13D,The system cannot find message text for message number 0x%1 in the message file for %2.,
ERROR_SCOPE_NOT_FOUND,318,0x13E,The scope specified was not found.,
ERROR_UNDEFINED_SCOPE,319,0x13F,The Central Access Policy specified is not defined on the target machine.,
ERROR_INVALID_CAP,320,0x140,The Central Access Policy obtained from Active Directory is invalid.,
ERROR_DEVICE_UNREACHABLE,321,0x141,The device is unreachable.,
ERROR_DEVICE_NO_RESOURCES,322,0x142,The target device has insufficient resources to complete the operation.,
ERROR_DATA_CHECKSUM_ERROR,323,0x143,A data integrity checksum error occurred. Data in the file stream is corrupt.,
ERROR_INTERMIXED_KERNEL_EA_OPERATION,324,0x144,An attempt was made to modify both a KERNEL and normal Extended Attribute (EA) in the same operation.,
ERROR_FILE_LEVEL_TRIM_NOT_SUPPORTED,326,0x146,Device does not support file-level TRIM.,
ERROR_OFFSET_ALIGNMENT_VIOLATION,327,0x147,The command specified a data offset that does not align to the device's granularity/alignment.,
ERROR_INVALID_FIELD_IN_PARAMETER_LIST,328,0x148,The command specified an invalid field in its parameter list.,
ERROR_OPERATION_IN_PROGRESS,329,0x149,An operation is currently in progress with the device.,
ERROR_BAD_DEVICE_PATH,330,0x14A,An attempt was made to send down the command via an invalid path to the target device.,
ERROR_TOO_MANY_DESCRIPTORS,331,0x14B,The command specified a number of descriptors that exceeded the maximum supported by the device.,
ERROR_SCRUB_DATA_DISABLED,332,0x14C,Scrub is disabled on the specified file.,
ERROR_NOT_REDUNDANT_STORAGE,333,0x14D,The storage device does not provide redundancy.,
ERROR_RESIDENT_FILE_NOT_SUPPORTED,334,0x14E,An operation is not supported on a resident file.,
ERROR_COMPRESSED_FILE_NOT_SUPPORTED,335,0x14F,An operation is not supported on a compressed file.,
ERROR_DIRECTORY_NOT_SUPPORTED,336,0x150,An operation is not supported on a directory.,
ERROR_NOT_READ_FROM_COPY,337,0x151,The specified copy of the requested data could not be read.,
ERROR_FAIL_NOACTION_REBOOT,350,0x15E,No action was taken as a system reboot is required.,
ERROR_FAIL_SHUTDOWN,351,0x15F,The shutdown operation failed.,
ERROR_FAIL_RESTART,352,0x160,The restart operation failed.,
ERROR_MAX_SESSIONS_REACHED,353,0x161,The maximum number of sessions has been reached.,
ERROR_THREAD_MODE_ALREADY_BACKGROUND,400,0x190,The thread is already in background processing mode.,
ERROR_THREAD_MODE_NOT_BACKGROUND,401,0x191,The thread is not in background processing mode.,
ERROR_PROCESS_MODE_ALREADY_BACKGROUND,402,0x192,The process is already in background processing mode.,
ERROR_PROCESS_MODE_NOT_BACKGROUND,403,0x193,The process is not in background processing mode.,
ERROR_INVALID_ADDRESS,487,0x1E7,Attempt to access invalid address.,
ERROR_USER_PROFILE_LOAD,500,0x1F4,User profile cannot be loaded.,
ERROR_ARITHMETIC_OVERFLOW,534,0x216,Arithmetic result exceeded 32 bits.,
ERROR_PIPE_CONNECTED,535,0x217,There is a process on other end of the pipe.,
ERROR_PIPE_LISTENING,536,0x218,Waiting for a process to open the other end of the pipe.,
ERROR_VERIFIER_STOP,537,0x219,Application verifier has found an error in the current process.,
ERROR_ABIOS_ERROR,538,0x21A,An error occurred in the ABIOS subsystem.,
ERROR_WX86_WARNING,539,0x21B,A warning occurred in the WX86 subsystem.,
ERROR_WX86_ERROR,540,0x21C,An error occurred in the WX86 subsystem.,
ERROR_TIMER_NOT_CANCELED,541,0x21D,An attempt was made to cancel or set a timer that has an associated APC and the subject thread is not the thread that originally set the timer with an associated APC routine.,
ERROR_UNWIND,542,0x21E,Unwind exception code.,
ERROR_BAD_STACK,543,0x21F,An invalid or unaligned stack was encountered during an unwind operation.,
ERROR_INVALID_UNWIND_TARGET,544,0x220,An invalid unwind target was encountered during an unwind operation.,
ERROR_INVALID_PORT_ATTRIBUTES,545,0x221,Invalid Object Attributes specified to NtCreatePort or invalid Port Attributes specified to NtConnectPort,
ERROR_PORT_MESSAGE_TOO_LONG,546,0x222,Length of message passed to NtRequestPort or NtRequestWaitReplyPort was longer than the maximum message allowed by the port.,
ERROR_INVALID_QUOTA_LOWER,547,0x223,An attempt was made to lower a quota limit below the current usage.,
ERROR_DEVICE_ALREADY_ATTACHED,548,0x224,An attempt was made to attach to a device that was already attached to another device.,
ERROR_INSTRUCTION_MISALIGNMENT,549,0x225,An attempt was made to execute an instruction at an unaligned address and the host system does not support unaligned instruction references.,
ERROR_PROFILING_NOT_STARTED,550,0x226,Profiling not started.,
ERROR_PROFILING_NOT_STOPPED,551,0x227,Profiling not stopped.,
ERROR_COULD_NOT_INTERPRET,552,0x228,The passed ACL did not contain the minimum required information.,
ERROR_PROFILING_AT_LIMIT,553,0x229,The number of active profiling objects is at the maximum and no more may be started.,
ERROR_CANT_WAIT,554,0x22A,Used to indicate that an operation cannot continue without blocking for I/O.,
ERROR_CANT_TERMINATE_SELF,555,0x22B,Indicates that a thread attempted to terminate itself by default (called NtTerminateThread with NULL) and it was the last thread in the current process.,
ERROR_UNEXPECTED_MM_CREATE_ERR,556,0x22C,"If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter. In this case information is lost, however, the filter correctly handles the exception.",
ERROR_UNEXPECTED_MM_MAP_ERROR,557,0x22D,"If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter. In this case information is lost, however, the filter correctly handles the exception.",
ERROR_UNEXPECTED_MM_EXTEND_ERR,558,0x22E,"If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter. In this case information is lost, however, the filter correctly handles the exception.",
ERROR_BAD_FUNCTION_TABLE,559,0x22F,A malformed function table was encountered during an unwind operation.,
ERROR_NO_GUID_TRANSLATION,560,0x230,"Indicates that an attempt was made to assign protection to a file system file or directory and one of the SIDs in the security descriptor could not be translated into a GUID that could be stored by the file system. This causes the protection attempt to fail, which may cause a file creation attempt to fail.",
ERROR_INVALID_LDT_SIZE,561,0x231,"Indicates that an attempt was made to grow an LDT by setting its size, or that the size was not an even number of selectors.",
ERROR_INVALID_LDT_OFFSET,563,0x233,Indicates that the starting value for the LDT information was not an integral multiple of the selector size.,
ERROR_INVALID_LDT_DESCRIPTOR,564,0x234,Indicates that the user supplied an invalid descriptor when trying to set up Ldt descriptors.,
ERROR_TOO_MANY_THREADS,565,0x235,"Indicates a process has too many threads to perform the requested action. For example, assignment of a primary token may only be performed when a process has zero or one threads.",
ERROR_THREAD_NOT_IN_PROCESS,566,0x236,"An attempt was made to operate on a thread within a specific process, but the thread specified is not in the process specified.",
ERROR_PAGEFILE_QUOTA_EXCEEDED,567,0x237,Page file quota was exceeded.,
ERROR_LOGON_SERVER_CONFLICT,568,0x238,The Netlogon service cannot start because another Netlogon service running in the domain conflicts with the specified role.,
ERROR_SYNCHRONIZATION_REQUIRED,569,0x239,The SAM database on a Windows Server is significantly out of synchronization with the copy on the Domain Controller. A complete synchronization is required.,
ERROR_NET_OPEN_FAILED,570,0x23A,"The NtCreateFile API failed. This error should never be returned to an application, it is a place holder for the Windows Lan Manager Redirector to use in its internal error mapping routines.",
ERROR_IO_PRIVILEGE_FAILED,571,0x23B,{Privilege Failed} The I/O permissions for the process could not be changed.,
ERROR_CONTROL_C_EXIT,572,0x23C,{Application Exit by CTRL+C} The application terminated as a result of a CTRL+C.,
ERROR_MISSING_SYSTEMFILE,573,0x23D,{Missing System File} The required system file %hs is bad or missing.,
ERROR_UNHANDLED_EXCEPTION,574,0x23E,{Application Error} The exception %s (0x%08lx) occurred in the application at location 0x%08lx.,
ERROR_APP_INIT_FAILURE,575,0x23F,{Application Error} The application was unable to start correctly (0x%lx). Click OK to close the application.,
ERROR_PAGEFILE_CREATE_FAILED,576,0x240,{Unable to Create Paging File} The creation of the paging file %hs failed (%lx). The requested size was %ld.,
ERROR_INVALID_IMAGE_HASH,577,0x241,"Windows cannot verify the digital signature for this file. A recent hardware or software change might have installed a file that is signed incorrectly or damaged, or that might be malicious software from an unknown source.",
ERROR_NO_PAGEFILE,578,0x242,{No Paging File Specified} No paging file was specified in the system configuration.,
ERROR_ILLEGAL_FLOAT_CONTEXT,579,0x243,{EXCEPTION} A real-mode application issued a floating-point instruction and floating-point hardware is not present.,
ERROR_NO_EVENT_PAIR,580,0x244,"An event pair synchronization operation was performed using the thread specific client/server event pair object, but no event pair object was associated with the thread.",
ERROR_DOMAIN_CTRLR_CONFIG_ERROR,581,0x245,A Windows Server has an incorrect configuration.,
ERROR_ILLEGAL_CHARACTER,582,0x246,An illegal character was encountered. For a multi-byte character set this includes a lead byte without a succeeding trail byte. For the Unicode character set this includes the characters 0xFFFF and 0xFFFE.,
ERROR_UNDEFINED_CHARACTER,583,0x247,The Unicode character is not defined in the Unicode character set installed on the system.,
ERROR_FLOPPY_VOLUME,584,0x248,The paging file cannot be created on a floppy diskette.,
ERROR_BIOS_FAILED_TO_CONNECT_INTERRUPT,585,0x249,The system BIOS failed to connect a system interrupt to the device or bus for which the device is connected.,
ERROR_BACKUP_CONTROLLER,586,0x24A,This operation is only allowed for the Primary Domain Controller of the domain.,
ERROR_MUTANT_LIMIT_EXCEEDED,587,0x24B,An attempt was made to acquire a mutant such that its maximum count would have been exceeded.,
ERROR_FS_DRIVER_REQUIRED,588,0x24C,A volume has been accessed for which a file system driver is required that has not yet been loaded.,
ERROR_CANNOT_LOAD_REGISTRY_FILE,589,0x24D,"{Registry File Failure} The registry cannot load the hive (file): %hs or its log or alternate. It is corrupt, absent, or not writable.",
